Word: after, start_time: 1.1, end_time: 1.7000000000000002
Word: school, start_time: 1.7000000000000002, end_time: 2.0
Word: some, start_time: 2.0, end_time: 2.3
Word: people, start_time: 2.3, end_time: 2.8
Word: like, start_time: 2.8, end_time: 3.3
Word: Little, start_time: 3.3, end_time: 3.6
Word: Bo, start_time: 3.6, end_time: 3.8
Word: Peep, start_time: 3.8, end_time: 4.1
Word: have, start_time: 4.1, end_time: 5.0
Word: animals, start_time: 5.0, end_time: 5.6
Word: they're, start_time: 5.6, end_time: 5.8
Word: supposed, start_time: 5.8, end_time: 6.2
Word: to, start_time: 6.2, end_time: 6.2
Word: take, start_time: 6.2, end_time: 6.5
Word: care, start_time: 6.5, end_time: 6.7
Word: of, start_time: 6.7, end_time: 6.9
Word: but, start_time: 6.9, end_time: 7.7
Word: Little, start_time: 9.8, end_time: 10.5
Word: Bo, start_time: 10.5, end_time: 10.6
Word: Peep, start_time: 10.6, end_time: 10.7
Word: has, start_time: 10.7, end_time: 11.1
Word: lost, start_time: 11.1, end_time: 11.3
Word: her, start_time: 11.3, end_time: 11.8
Word: sheep, start_time: 11.8, end_time: 12.0
Word: and, start_time: 12.0, end_time: 12.8
Word: can't, start_time: 12.8, end_time: 13.2
Word: tell, start_time: 13.2, end_time: 13.5
Word: where, start_time: 13.5, end_time: 13.7
Word: to, start_time: 13.7, end_time: 14.0
Word: find, start_time: 14.0, end_time: 14.3
Word: them, start_time: 14.3, end_time: 14.5
Word: leave, start_time: 14.5, end_time: 15.7
Word: them, start_time: 15.7, end_time: 15.8
Word: alone, start_time: 15.8, end_time: 16.1
Word: and, start_time: 16.1, end_time: 16.3
Word: they'll, start_time: 16.3, end_time: 16.5
Word: come, start_time: 16.5, end_time: 16.7
Word: home, start_time: 16.7, end_time: 16.9
Word: wagging, start_time: 16.9, end_time: 17.6
Word: their, start_time: 17.6, end_time: 17.8
Word: tails, start_time: 17.8, end_time: 18.2
Word: behind, start_time: 18.2, end_time: 18.5
Word: them, start_time: 18.5, end_time: 18.8
Word: Little, start_time: 20.1, end_time: 20.6
Word: Bo, start_time: 20.6, end_time: 20.8
Word: Peep, start_time: 20.8, end_time: 20.9
Word: fell, start_time: 20.9, end_time: 21.5
Word: fast, start_time: 21.5, end_time: 22.2
Word: asleep, start_time: 22.2, end_time: 22.3
Word: and, start_time: 22.3, end_time: 23.4
Word: dreamed, start_time: 23.4, end_time: 23.9
Word: she, start_time: 23.9, end_time: 24.1
Word: heard, start_time: 24.1, end_time: 24.3
Word: them, start_time: 24.3, end_time: 24.5
Word: bleeding, start_time: 24.5, end_time: 25.0
Word: but, start_time: 25.0, end_time: 25.9
Word: when, start_time: 25.9, end_time: 26.2
Word: she, start_time: 26.2, end_time: 26.4
Word: awoke, start_time: 26.4, end_time: 26.5
Word: she, start_time: 26.5, end_time: 26.9
Word: found, start_time: 26.9, end_time: 27.3
Word: it, start_time: 27.3, end_time: 27.4
Word: a, start_time: 27.4, end_time: 27.5
Word: joke, start_time: 27.5, end_time: 27.8
Word: they, start_time: 27.8, end_time: 28.4
Word: were, start_time: 28.4, end_time: 28.6
Word: locked, start_time: 28.6, end_time: 29.0
Word: and, start_time: 29.0, end_time: 29.2
Word: some, start_time: 29.2, end_time: 29.5
Word: hay, start_time: 29.5, end_time: 29.9
Word: field, start_time: 29.9, end_time: 30.3
Word: eating, start_time: 30.3, end_time: 30.9
Word: then, start_time: 32.0, end_time: 32.6
Word: she, start_time: 32.6, end_time: 32.7
Word: took, start_time: 32.7, end_time: 32.9
Word: her, start_time: 32.9, end_time: 33.2
Word: little, start_time: 33.2, end_time: 33.4
Word: crook, start_time: 33.4, end_time: 33.7
Word: determined, start_time: 33.7, end_time: 34.5
Word: for, start_time: 34.5, end_time: 34.8
Word: to, start_time: 34.8, end_time: 34.9
Word: find, start_time: 34.9, end_time: 35.2
Word: them, start_time: 35.2, end_time: 35.5
Word: she, start_time: 35.5, end_time: 36.2
Word: found, start_time: 36.2, end_time: 36.5
Word: them, start_time: 36.5, end_time: 36.7
Word: indeed, start_time: 36.7, end_time: 37.0
Word: but, start_time: 37.0, end_time: 37.8
Word: it, start_time: 37.8, end_time: 37.8
Word: made, start_time: 37.8, end_time: 38.2
Word: her, start_time: 38.2, end_time: 38.4
Word: heart, start_time: 38.4, end_time: 38.6
Word: bleed, start_time: 38.6, end_time: 39.4
Word: for, start_time: 39.4, end_time: 39.9
Word: they, start_time: 39.9, end_time: 40.0
Word: left, start_time: 40.0, end_time: 40.5
Word: their, start_time: 40.5, end_time: 40.7
Word: tails, start_time: 40.7, end_time: 41.3
Word: behind, start_time: 41.3, end_time: 41.6
Word: them, start_time: 41.6, end_time: 41.9
Word: It, start_time: 43.1, end_time: 43.5
Word: Happened, start_time: 43.5, end_time: 44.0
Word: One, start_time: 44.0, end_time: 44.1
Word: day, start_time: 44.1, end_time: 44.3
Word: as, start_time: 44.3, end_time: 44.7
Word: Bo, start_time: 44.7, end_time: 44.9
Word: Peep, start_time: 44.9, end_time: 45.3
Word: did, start_time: 45.3, end_time: 45.4
Word: stray, start_time: 45.4, end_time: 45.8
Word: into, start_time: 45.8, end_time: 46.3
Word: a, start_time: 46.3, end_time: 46.4
Word: meadow, start_time: 46.4, end_time: 46.8
Word: close, start_time: 46.8, end_time: 47.2
Word: by, start_time: 47.2, end_time: 47.4
Word: there, start_time: 47.4, end_time: 48.6
Word: she, start_time: 48.6, end_time: 48.8
Word: did, start_time: 48.8, end_time: 49.0
Word: spy, start_time: 49.0, end_time: 49.3
Word: their, start_time: 49.3, end_time: 49.6
Word: tail, start_time: 49.6, end_time: 49.9
Word: side, start_time: 50.0, end_time: 50.5
Word: by, start_time: 50.5, end_time: 50.7
Word: side, start_time: 50.7, end_time: 51.2
Word: hung, start_time: 51.2, end_time: 51.9
Word: on, start_time: 51.9, end_time: 52.1
Word: a, start_time: 52.1, end_time: 52.2
Word: tree, start_time: 52.2, end_time: 52.3
Word: to, start_time: 52.3, end_time: 53.0
Word: dry, start_time: 53.0, end_time: 53.3
