Word: I'm, start_time: 1.4, end_time: 1.9
Word: so, start_time: 1.9, end_time: 2.2
Word: very, start_time: 2.2, end_time: 2.4
Word: happy, start_time: 2.4, end_time: 2.7
Word: that, start_time: 2.7, end_time: 3.1
Word: we've, start_time: 3.1, end_time: 3.3
Word: had, start_time: 3.3, end_time: 3.4
Word: our, start_time: 3.4, end_time: 3.6
Word: visit, start_time: 3.6, end_time: 4.0
Word: please, start_time: 4.0, end_time: 5.2
Word: invite, start_time: 5.2, end_time: 5.7
Word: me, start_time: 5.7, end_time: 5.9
Word: to, start_time: 5.9, end_time: 6.0
Word: come, start_time: 6.0, end_time: 6.2
Word: again, start_time: 6.2, end_time: 6.4
Word: sometime, start_time: 6.4, end_time: 6.9
Word: goodbye, start_time: 8.0, end_time: 8.5
Word: this, start_time: 10.3, end_time: 10.9
Word: has, start_time: 10.9, end_time: 11.2
Word: been, start_time: 11.2, end_time: 11.4
Word: in, start_time: 11.4, end_time: 11.9
Word: Augusta, start_time: 11.9, end_time: 12.4
Word: State, start_time: 12.4, end_time: 12.8
Word: University, start_time: 12.8, end_time: 13.1
Word: I, start_time: 13.1, end_time: 14.2
Word: did, start_time: 14.2, end_time: 14.6
Word: text, start_time: 14.6, end_time: 15.2
Word: All, start_time: 15.2, end_time: 15.8
Word: Rights, start_time: 15.8, end_time: 16.3
Word: Reserved, start_time: 16.3, end_time: 16.9
Word: copyright, start_time: 16.9, end_time: 18.1
Word: 2009, start_time: 18.1, end_time: 19.1
Word: is, start_time: 19.1, end_time: 20.0
Word: for, start_time: 20.0, end_time: 20.3
Word: listening, start_time: 20.3, end_time: 20.8
