Word: Jay, start_time: 0.0, end_time: 0.4
Word: was, start_time: 0.4, end_time: 0.8
Word: for, start_time: 0.8, end_time: 1.0
Word: John, start_time: 1.0, end_time: 1.4
Word: Junior, start_time: 1.4, end_time: 1.9
Word: who, start_time: 1.9, end_time: 2.2
Word: built, start_time: 2.2, end_time: 2.5
Word: him, start_time: 2.5, end_time: 2.6
Word: a, start_time: 2.6, end_time: 2.7
Word: house, start_time: 2.7, end_time: 3.2
Word: was, start_time: 3.2, end_time: 4.3
Word: possible, start_time: 4.3, end_time: 6.5
Word: and, start_time: 6.5, end_time: 6.9
Word: ham, start_time: 6.9, end_time: 12.7
Word: was, start_time: 12.7, end_time: 13.0
Word: a, start_time: 13.0, end_time: 13.1
Word: miser, start_time: 13.1, end_time: 13.5
Word: who, start_time: 13.5, end_time: 13.9
Word: hit, start_time: 13.9, end_time: 14.2
Word: all, start_time: 14.2, end_time: 14.6
Word: his, start_time: 14.6, end_time: 14.9
Word: gold, start_time: 14.9, end_time: 15.5
Word: and, start_time: 15.5, end_time: 16.1
Word: was, start_time: 16.1, end_time: 16.4
Word: a, start_time: 16.4, end_time: 16.5
Word: nobleman, start_time: 16.5, end_time: 17.1
Word: Gallatin, start_time: 17.1, end_time: 18.1
Word: Bode, start_time: 18.1, end_time: 18.7
