Word: look, start_time: 1.4, end_time: 1.9
Word: marjorie's, start_time: 3.1, end_time: 4.0
Word: on, start_time: 4.0, end_time: 4.3
Word: the, start_time: 4.3, end_time: 4.4
Word: teeter, start_time: 4.4, end_time: 4.7
Word: totter, start_time: 4.7, end_time: 4.8
Word: and, start_time: 4.8, end_time: 6.0
Word: Jackie, start_time: 6.0, end_time: 6.6
Word: should, start_time: 6.6, end_time: 6.9
Word: be, start_time: 6.9, end_time: 7.0
Word: working, start_time: 7.0, end_time: 7.5
Word: but, start_time: 7.5, end_time: 7.7
Word: he's, start_time: 7.7, end_time: 8.0
Word: not, start_time: 8.0, end_time: 8.1
Word: working, start_time: 8.1, end_time: 8.5
Word: very, start_time: 8.5, end_time: 8.7
Word: hard, start_time: 8.7, end_time: 8.9
Word: see-saw, start_time: 10.3, end_time: 11.6
Word: Margery, start_time: 11.6, end_time: 12.7
Word: Daw, start_time: 12.7, end_time: 12.8
Word: Jackie, start_time: 12.8, end_time: 14.1
Word: shall, start_time: 14.1, end_time: 14.4
Word: have, start_time: 14.4, end_time: 14.6
Word: a, start_time: 14.6, end_time: 14.7
Word: new, start_time: 14.7, end_time: 14.7
Word: master, start_time: 14.7, end_time: 15.2
Word: he, start_time: 15.2, end_time: 16.3
Word: Shelton, start_time: 16.3, end_time: 16.9
Word: just, start_time: 16.9, end_time: 17.2
Word: a, start_time: 17.2, end_time: 17.3
Word: penny, start_time: 17.3, end_time: 17.7
Word: a, start_time: 17.7, end_time: 17.8
Word: day, start_time: 17.8, end_time: 17.9
Word: because, start_time: 17.9, end_time: 18.9
Word: he, start_time: 18.9, end_time: 19.3
Word: won't, start_time: 19.3, end_time: 19.5
Word: work, start_time: 19.5, end_time: 19.9
Word: any, start_time: 19.9, end_time: 20.5
Word: faster, start_time: 20.5, end_time: 20.5
