Word: why, start_time: 1.4, end_time: 1.9
Word: thank, start_time: 1.9, end_time: 2.6
Word: you, start_time: 2.6, end_time: 2.8
Word: for, start_time: 2.8, end_time: 3.2
Word: inviting, start_time: 3.2, end_time: 3.4
Word: me, start_time: 3.4, end_time: 3.8
Word: to, start_time: 3.8, end_time: 4.1
Word: visit, start_time: 4.1, end_time: 4.2
Word: you, start_time: 4.2, end_time: 4.8
Word: it's, start_time: 4.8, end_time: 6.1
Word: so, start_time: 6.1, end_time: 6.4
Word: nice, start_time: 6.4, end_time: 6.8
Word: of, start_time: 6.8, end_time: 6.9
Word: you, start_time: 6.9, end_time: 7.0
Word: to, start_time: 7.0, end_time: 7.1
Word: spend, start_time: 7.1, end_time: 7.4
Word: some, start_time: 7.4, end_time: 7.6
Word: time, start_time: 7.6, end_time: 7.7
Word: with, start_time: 7.7, end_time: 8.1
Word: me, start_time: 8.1, end_time: 8.3
Word: and, start_time: 8.3, end_time: 9.0
Word: I'm, start_time: 9.0, end_time: 9.2
Word: very, start_time: 9.2, end_time: 9.4
Word: grateful, start_time: 9.4, end_time: 9.9
Word: children, start_time: 11.6, end_time: 12.5
Word: call, start_time: 12.5, end_time: 12.9
Word: me, start_time: 12.9, end_time: 13.0
Word: Mother, start_time: 13.0, end_time: 13.4
Word: Goose, start_time: 13.4, end_time: 13.5
Word: because, start_time: 13.5, end_time: 14.1
Word: when, start_time: 14.1, end_time: 14.5
Word: I, start_time: 14.5, end_time: 14.6
Word: want, start_time: 14.6, end_time: 14.9
Word: to, start_time: 14.9, end_time: 15.0
Word: wonder, start_time: 15.0, end_time: 15.5
Word: I, start_time: 15.5, end_time: 16.2
Word: ride, start_time: 16.2, end_time: 16.8
Word: through, start_time: 16.8, end_time: 17.0
Word: the, start_time: 17.0, end_time: 17.2
Word: air, start_time: 17.2, end_time: 17.6
Word: on, start_time: 17.6, end_time: 17.9
Word: a, start_time: 17.9, end_time: 18.0
Word: very, start_time: 18.0, end_time: 18.5
Word: fine, start_time: 18.5, end_time: 19.2
Word: gander, start_time: 19.2, end_time: 19.8
Word: again, start_time: 21.2, end_time: 22.0
Word: there, start_time: 22.0, end_time: 22.1
Word: is, start_time: 22.1, end_time: 22.2
Word: what, start_time: 22.2, end_time: 22.6
Word: people, start_time: 22.6, end_time: 22.8
Word: call, start_time: 22.8, end_time: 23.2
Word: a, start_time: 23.2, end_time: 23.3
Word: gentleman, start_time: 23.3, end_time: 23.9
Word: Goose, start_time: 23.9, end_time: 24.3
Word: a, start_time: 24.3, end_time: 25.4
Word: lady, start_time: 25.4, end_time: 25.9
Word: goose, start_time: 25.9, end_time: 26.2
Word: is, start_time: 26.2, end_time: 26.4
Word: simply, start_time: 26.4, end_time: 26.8
Word: called, start_time: 26.8, end_time: 27.2
Word: a, start_time: 27.2, end_time: 27.5
Word: goose, start_time: 27.5, end_time: 27.8
