Word: some, start_time: 0.9, end_time: 1.4
Word: of, start_time: 1.4, end_time: 1.6
Word: her, start_time: 1.6, end_time: 1.7000000000000002
Word: children, start_time: 1.7000000000000002, end_time: 1.9
Word: needed, start_time: 1.9, end_time: 2.5
Word: to, start_time: 2.5, end_time: 2.6
Word: sit, start_time: 2.6, end_time: 2.8
Word: in, start_time: 2.8, end_time: 3.0
Word: time, start_time: 3.0, end_time: 3.4
Word: out, start_time: 3.4, end_time: 3.5
Word: more, start_time: 3.5, end_time: 4.0
Word: than, start_time: 4.0, end_time: 4.1
Word: others, start_time: 4.1, end_time: 4.5
Word: there, start_time: 5.7, end_time: 6.1
Word: was, start_time: 6.1, end_time: 6.3
Word: a, start_time: 6.3, end_time: 6.4
Word: little, start_time: 6.4, end_time: 6.6
Word: girl, start_time: 6.6, end_time: 6.8
Word: who, start_time: 6.8, end_time: 7.2
Word: had, start_time: 7.2, end_time: 7.4
Word: a, start_time: 7.4, end_time: 7.6
Word: little, start_time: 7.6, end_time: 7.6
Word: curl, start_time: 7.6, end_time: 8.0
Word: right, start_time: 8.0, end_time: 8.7
Word: in, start_time: 8.7, end_time: 9.0
Word: the, start_time: 9.0, end_time: 9.1
Word: middle, start_time: 9.1, end_time: 9.4
Word: of, start_time: 9.4, end_time: 9.6
Word: her, start_time: 9.6, end_time: 9.8
Word: forehead, start_time: 9.8, end_time: 9.9
Word: when, start_time: 9.9, end_time: 11.5
Word: she, start_time: 11.5, end_time: 11.6
Word: was, start_time: 11.6, end_time: 11.9
Word: good, start_time: 11.9, end_time: 12.1
Word: she, start_time: 12.1, end_time: 12.6
Word: was, start_time: 12.6, end_time: 12.8
Word: very, start_time: 12.8, end_time: 13.1
Word: very, start_time: 13.1, end_time: 13.8
Word: good, start_time: 13.8, end_time: 14.1
Word: but, start_time: 14.1, end_time: 15.0
Word: when, start_time: 15.0, end_time: 15.1
Word: she, start_time: 15.1, end_time: 15.6
Word: was, start_time: 15.6, end_time: 15.7
Word: bad, start_time: 15.7, end_time: 15.9
Word: she, start_time: 15.9, end_time: 16.5
Word: was, start_time: 16.5, end_time: 17.0
Word: horrid, start_time: 17.0, end_time: 17.1
