Word: once, start_time: 1.5, end_time: 2.1
Word: Simon, start_time: 2.1, end_time: 2.9
Word: made, start_time: 2.9, end_time: 3.1
Word: a, start_time: 3.1, end_time: 3.2
Word: great, start_time: 3.2, end_time: 3.5
Word: snowball, start_time: 3.5, end_time: 3.9
Word: and, start_time: 3.9, end_time: 4.7
Word: brought, start_time: 4.7, end_time: 5.0
Word: it, start_time: 5.0, end_time: 5.1
Word: in, start_time: 5.1, end_time: 5.3
Word: to, start_time: 5.3, end_time: 5.4
Word: roast, start_time: 5.4, end_time: 6.0
Word: you, start_time: 6.0, end_time: 6.7
Word: laid, start_time: 6.7, end_time: 6.9
Word: it, start_time: 6.9, end_time: 7.0
Word: down, start_time: 7.0, end_time: 7.1
Word: before, start_time: 7.1, end_time: 7.5
Word: the, start_time: 7.5, end_time: 7.8
Word: fire, start_time: 7.8, end_time: 7.8
Word: and, start_time: 7.8, end_time: 9.3
Word: soon, start_time: 9.3, end_time: 9.6
Word: the, start_time: 9.6, end_time: 9.7
Word: ball, start_time: 9.7, end_time: 9.9
Word: was, start_time: 9.9, end_time: 10.1
Word: lost, start_time: 10.1, end_time: 10.7
Word: before, start_time: 10.7, end_time: 13.3
Word: the, start_time: 13.3, end_time: 13.6
Word: ice, start_time: 13.6, end_time: 13.8
Word: with, start_time: 13.8, end_time: 14.0
Word: bare, start_time: 14.0, end_time: 14.2
Word: Vinny, start_time: 14.2, end_time: 14.9
Word: punished, start_time: 14.9, end_time: 15.4
Word: and, start_time: 15.4, end_time: 15.6
Word: above, start_time: 15.6, end_time: 15.9
Word: his, start_time: 15.9, end_time: 16.1
Word: knees, start_time: 16.1, end_time: 16.4
Word: which, start_time: 16.4, end_time: 16.8
Word: made, start_time: 16.8, end_time: 17.0
Word: for, start_time: 17.0, end_time: 17.3
Word: Simon's, start_time: 17.3, end_time: 17.8
Word: stair, start_time: 17.8, end_time: 18.2
Word: you, start_time: 18.2, end_time: 18.9
Word: want, start_time: 18.9, end_time: 19.1
Word: to, start_time: 19.1, end_time: 19.3
Word: try, start_time: 19.3, end_time: 19.6
Word: if, start_time: 19.6, end_time: 19.9
Word: cherries, start_time: 19.9, end_time: 20.5
Word: ripe, start_time: 20.5, end_time: 21.1
Word: grew, start_time: 21.1, end_time: 21.7
Word: up, start_time: 21.7, end_time: 21.8
Word: unofficial, start_time: 21.8, end_time: 22.6
Word: he, start_time: 22.6, end_time: 23.2
Word: pricked, start_time: 23.2, end_time: 23.6
Word: his, start_time: 23.6, end_time: 23.8
Word: finger, start_time: 23.8, end_time: 24.3
Word: very, start_time: 24.3, end_time: 24.7
Word: much, start_time: 24.7, end_time: 25.2
Word: which, start_time: 25.2, end_time: 25.6
Word: made, start_time: 25.6, end_time: 25.9
Word: poor, start_time: 25.9, end_time: 26.3
Word: Simon, start_time: 26.3, end_time: 27.0
Word: whistle, start_time: 27.0, end_time: 27.7
