Word: and, start_time: 0.0, end_time: 1.3
Word: here's, start_time: 1.3, end_time: 1.5
Word: Tommy, start_time: 1.5, end_time: 1.9
Word: Little, start_time: 3.2, end_time: 3.7
Word: Tommy, start_time: 3.7, end_time: 4.2
Word: Tittle, start_time: 4.2, end_time: 4.6
Word: Mouse, start_time: 4.6, end_time: 4.8
Word: lived, start_time: 4.8, end_time: 5.7
Word: in, start_time: 5.7, end_time: 5.9
Word: a, start_time: 5.9, end_time: 5.9
Word: little, start_time: 5.9, end_time: 6.1
Word: house, start_time: 6.1, end_time: 6.6
Word: he, start_time: 6.6, end_time: 7.2
Word: caught, start_time: 7.2, end_time: 7.5
Word: fishes, start_time: 7.5, end_time: 8.1
Word: in, start_time: 8.1, end_time: 8.5
Word: other, start_time: 8.5, end_time: 8.9
Word: men's, start_time: 8.9, end_time: 9.2
Word: ditches, start_time: 9.2, end_time: 9.6
