Word: when, start_time: 2.0, end_time: 2.5
Word: landscape, start_time: 2.5, end_time: 3.1
Word: big, start_time: 3.1, end_time: 3.4
Word: they, start_time: 3.4, end_time: 4.0
Word: become, start_time: 4.0, end_time: 4.3
Word: sheep, start_time: 4.3, end_time: 4.8
Word: and, start_time: 4.8, end_time: 5.9
Word: sometimes, start_time: 5.9, end_time: 6.5
Word: children, start_time: 6.5, end_time: 6.8
Word: were, start_time: 6.8, end_time: 7.2
Word: supposed, start_time: 7.2, end_time: 7.8
Word: to, start_time: 7.8, end_time: 7.8
Word: take, start_time: 7.8, end_time: 8.1
Word: care, start_time: 8.1, end_time: 8.2
Word: of, start_time: 8.2, end_time: 8.5
Word: the, start_time: 8.5, end_time: 8.6
Word: Sheep, start_time: 8.6, end_time: 8.9
Word: little, start_time: 10.7, end_time: 11.2
Word: boy, start_time: 11.2, end_time: 11.5
Word: blue, start_time: 11.5, end_time: 11.7
Word: Come, start_time: 11.7, end_time: 12.3
Word: Blow, start_time: 12.3, end_time: 12.4
Word: Your, start_time: 12.4, end_time: 12.7
Word: Horn, start_time: 12.7, end_time: 12.9
Word: the, start_time: 12.9, end_time: 13.9
Word: Sheep's, start_time: 13.9, end_time: 14.3
Word: in, start_time: 14.3, end_time: 14.4
Word: the, start_time: 14.4, end_time: 14.5
Word: meadow, start_time: 14.5, end_time: 14.6
Word: the, start_time: 14.6, end_time: 15.7
Word: cow's, start_time: 15.7, end_time: 16.2
Word: in, start_time: 16.2, end_time: 16.3
Word: the, start_time: 16.3, end_time: 16.4
Word: corn, start_time: 16.4, end_time: 16.5
Word: where, start_time: 17.9, end_time: 18.5
Word: is, start_time: 18.5, end_time: 18.8
Word: the, start_time: 18.8, end_time: 19.0
Word: boy, start_time: 19.0, end_time: 19.3
Word: who, start_time: 19.3, end_time: 19.5
Word: mines, start_time: 19.5, end_time: 20.0
Word: the, start_time: 20.0, end_time: 20.2
Word: Sheep, start_time: 20.2, end_time: 20.6
Word: under, start_time: 20.6, end_time: 21.8
Word: the, start_time: 21.8, end_time: 22.1
Word: haystack, start_time: 22.1, end_time: 22.4
Word: fast, start_time: 22.4, end_time: 23.8
Word: asleep, start_time: 23.8, end_time: 24.2
Word: will, start_time: 24.2, end_time: 25.8
Word: you, start_time: 25.8, end_time: 25.9
Word: wake, start_time: 25.9, end_time: 26.3
Word: him, start_time: 26.3, end_time: 26.5
Word: no, start_time: 26.5, end_time: 27.3
Word: not, start_time: 27.3, end_time: 27.7
Word: I, start_time: 27.7, end_time: 27.9
Word: for, start_time: 27.9, end_time: 28.9
Word: if, start_time: 28.9, end_time: 29.1
Word: I, start_time: 29.1, end_time: 29.3
Word: do, start_time: 29.3, end_time: 29.6
Word: he, start_time: 29.6, end_time: 30.2
Word: sure, start_time: 30.2, end_time: 30.6
Word: to, start_time: 30.6, end_time: 30.8
Word: cry, start_time: 30.8, end_time: 31.1
