Word: when, start_time: 0.2, end_time: 0.7000000000000001
Word: good, start_time: 0.7000000000000001, end_time: 1.0
Word: King, start_time: 1.0, end_time: 1.4
Word: Arthur, start_time: 1.4, end_time: 1.9
Word: ruled, start_time: 1.9, end_time: 2.4
Word: his, start_time: 2.4, end_time: 2.6
Word: land, start_time: 2.6, end_time: 3.1
Word: he, start_time: 3.1, end_time: 3.8
Word: was, start_time: 3.8, end_time: 4.1
Word: a, start_time: 4.1, end_time: 4.2
Word: good, start_time: 4.2, end_time: 4.5
Word: leaking, start_time: 4.5, end_time: 5.2
Word: he, start_time: 5.2, end_time: 6.1
Word: stole, start_time: 6.1, end_time: 6.5
Word: three, start_time: 6.5, end_time: 6.9
Word: sacks, start_time: 6.9, end_time: 7.4
Word: of, start_time: 7.4, end_time: 7.5
Word: barley, start_time: 7.5, end_time: 8.0
Word: meal, start_time: 8.0, end_time: 8.4
Word: to, start_time: 8.4, end_time: 8.9
Word: make, start_time: 8.9, end_time: 9.1
Word: a, start_time: 9.1, end_time: 9.3
Word: bag, start_time: 9.3, end_time: 9.7
Word: pudding, start_time: 9.7, end_time: 10.2
Word: a, start_time: 10.2, end_time: 11.3
Word: bag, start_time: 11.3, end_time: 11.8
Word: putting, start_time: 11.8, end_time: 12.3
Word: the, start_time: 12.3, end_time: 12.4
Word: king, start_time: 12.4, end_time: 12.7
Word: did, start_time: 12.7, end_time: 13.0
Word: make, start_time: 13.0, end_time: 13.3
Word: and, start_time: 13.3, end_time: 13.9
Word: stuffed, start_time: 13.9, end_time: 14.4
Word: it, start_time: 14.4, end_time: 14.5
Word: well, start_time: 14.5, end_time: 14.9
Word: with, start_time: 14.9, end_time: 15.1
Word: Plums, start_time: 15.1, end_time: 15.9
Word: and, start_time: 15.9, end_time: 16.8
Word: in, start_time: 16.8, end_time: 17.1
Word: it, start_time: 17.1, end_time: 17.3
Word: put, start_time: 17.3, end_time: 17.8
Word: great, start_time: 17.8, end_time: 18.4
Word: lumps, start_time: 18.4, end_time: 19.0
Word: of, start_time: 19.0, end_time: 19.1
Word: fat, start_time: 19.1, end_time: 19.4
Word: as, start_time: 19.4, end_time: 19.9
Word: big, start_time: 19.9, end_time: 20.7
Word: as, start_time: 20.7, end_time: 20.8
Word: my, start_time: 20.8, end_time: 21.1
Word: two, start_time: 21.1, end_time: 21.6
Word: thumbs, start_time: 21.6, end_time: 22.4
Word: the, start_time: 22.4, end_time: 23.5
Word: king, start_time: 23.5, end_time: 24.1
Word: and, start_time: 24.1, end_time: 24.2
Word: queen, start_time: 24.2, end_time: 24.8
Word: eight, start_time: 24.8, end_time: 25.2
Word: less, start_time: 25.2, end_time: 25.5
Word: than, start_time: 25.5, end_time: 25.6
Word: half, start_time: 25.6, end_time: 26.2
Word: not, start_time: 26.2, end_time: 27.1
Word: much, start_time: 27.1, end_time: 27.3
Word: more, start_time: 27.3, end_time: 27.7
Word: though, start_time: 27.7, end_time: 28.3
Word: they, start_time: 28.3, end_time: 28.4
Word: tried, start_time: 28.4, end_time: 28.5
Word: and, start_time: 28.5, end_time: 30.1
Word: what, start_time: 30.1, end_time: 30.4
Word: they, start_time: 30.4, end_time: 30.5
Word: could, start_time: 30.5, end_time: 30.8
Word: not, start_time: 30.8, end_time: 31.1
Word: eat, start_time: 31.1, end_time: 31.3
Word: that, start_time: 31.3, end_time: 31.4
Word: night, start_time: 31.4, end_time: 32.0
Word: the, start_time: 32.0, end_time: 32.6
Word: queen, start_time: 32.6, end_time: 33.2
Word: next, start_time: 33.2, end_time: 33.6
Word: morning, start_time: 33.6, end_time: 34.1
Word: fried, start_time: 34.1, end_time: 34.7
