Word: Jack, start_time: 1.1, end_time: 1.9
Word: fell, start_time: 1.9, end_time: 2.3
Word: down, start_time: 2.3, end_time: 2.4
Word: and, start_time: 2.4, end_time: 2.8
Word: broke, start_time: 2.8, end_time: 3.0
Word: his, start_time: 3.0, end_time: 3.4
Word: crown, start_time: 3.4, end_time: 3.6
Word: and, start_time: 3.6, end_time: 4.4
Word: Jill, start_time: 4.4, end_time: 4.7
Word: came, start_time: 4.7, end_time: 4.8
Word: tumbling, start_time: 4.8, end_time: 5.4
Word: after, start_time: 5.4, end_time: 5.7
