Word: ABC, start_time: 0.8, end_time: 1.9
Word: birds, start_time: 1.9, end_time: 2.4
Word: in, start_time: 2.4, end_time: 2.7
Word: the, start_time: 2.7, end_time: 2.8
Word: tree, start_time: 2.8, end_time: 3.1
Word: D, start_time: 3.1, end_time: 3.8
Word: E, start_time: 3.8, end_time: 4.0
Word: F, start_time: 4.0, end_time: 4.3
Word: none, start_time: 4.3, end_time: 4.9
Word: or, start_time: 4.9, end_time: 5.0
Word: left, start_time: 5.0, end_time: 5.5
Word: ghi, start_time: 5.5, end_time: 6.7
Word: they, start_time: 6.7, end_time: 7.1
Word: flew, start_time: 7.1, end_time: 7.4
Word: High, start_time: 7.4, end_time: 7.8
Word: J, start_time: 7.8, end_time: 8.6
Word: K, start_time: 8.6, end_time: 8.9
Word: L, start_time: 8.9, end_time: 9.3
Word: into, start_time: 9.3, end_time: 10.1
Word: the, start_time: 10.1, end_time: 10.2
Word: Bell, start_time: 10.2, end_time: 10.5
Word: mno, start_time: 10.5, end_time: 11.8
Word: over, start_time: 11.8, end_time: 12.3
Word: the, start_time: 12.3, end_time: 12.4
Word: snow-peak, start_time: 12.4, end_time: 13.5
Word: you, start_time: 13.5, end_time: 13.8
Word: are, start_time: 13.8, end_time: 14.2
Word: they, start_time: 14.2, end_time: 14.5
Word: flew, start_time: 14.5, end_time: 14.8
Word: far, start_time: 14.8, end_time: 15.2
Word: St, start_time: 15.2, end_time: 16.3
Word: you, start_time: 16.3, end_time: 16.6
Word: that's, start_time: 16.6, end_time: 17.4
Word: what, start_time: 17.4, end_time: 17.6
Word: they, start_time: 17.6, end_time: 17.7
Word: do, start_time: 17.7, end_time: 17.9
Word: v, start_time: 17.9, end_time: 18.9
Word: w, start_time: 18.9, end_time: 19.4
Word: x, start_time: 19.4, end_time: 19.7
Word: what, start_time: 19.7, end_time: 20.2
Word: comes, start_time: 20.2, end_time: 20.4
Word: next, start_time: 20.4, end_time: 20.8
Word: Y, start_time: 20.8, end_time: 21.9
Word: and, start_time: 21.9, end_time: 22.2
Word: Z, start_time: 22.2, end_time: 22.5
Word: back, start_time: 22.5, end_time: 23.5
Word: to, start_time: 23.5, end_time: 23.8
Word: the, start_time: 23.8, end_time: 23.9
Word: tree, start_time: 23.9, end_time: 24.1
