Word: Little, start_time: 0.0, end_time: 0.6000000000000001
Word: Miss, start_time: 0.6000000000000001, end_time: 0.8
Word: Muffet, start_time: 0.8, end_time: 1.3
Word: sat, start_time: 1.3, end_time: 1.8
Word: on, start_time: 1.8, end_time: 2.1
Word: a, start_time: 2.1, end_time: 2.2
Word: tuffet, start_time: 2.2, end_time: 2.3
Word: eating, start_time: 2.3, end_time: 3.5
Word: some, start_time: 3.5, end_time: 4.0
Word: curds, start_time: 4.0, end_time: 4.5
Word: and, start_time: 4.5, end_time: 4.7
Word: whey, start_time: 4.7, end_time: 4.9
Word: Along, start_time: 4.9, end_time: 6.5
Word: came, start_time: 6.5, end_time: 6.8
Word: a, start_time: 6.8, end_time: 6.9
Word: spider, start_time: 6.9, end_time: 7.2
Word: and, start_time: 7.2, end_time: 7.9
Word: sat, start_time: 7.9, end_time: 8.3
Word: down, start_time: 8.3, end_time: 8.6
Word: beside, start_time: 8.6, end_time: 8.8
Word: her, start_time: 8.8, end_time: 9.3
Word: and, start_time: 9.3, end_time: 9.7
Word: frightened, start_time: 9.7, end_time: 10.6
Word: Miss, start_time: 10.6, end_time: 10.6
Word: Muffet, start_time: 10.6, end_time: 11.3
Word: away, start_time: 11.3, end_time: 11.4
