Word: you, start_time: 1.7000000000000002, end_time: 2.1
Word: went, start_time: 2.1, end_time: 2.3
Word: to, start_time: 2.3, end_time: 2.4
Word: ride, start_time: 2.4, end_time: 2.6
Word: a, start_time: 2.6, end_time: 2.7
Word: spotted, start_time: 2.7, end_time: 3.2
Word: cow, start_time: 3.2, end_time: 3.4
Word: that, start_time: 3.4, end_time: 3.8
Word: had, start_time: 3.8, end_time: 4.0
Word: a, start_time: 4.0, end_time: 4.1
Word: little, start_time: 4.1, end_time: 4.2
Word: calf, start_time: 4.2, end_time: 4.8
Word: she, start_time: 4.8, end_time: 5.8
Word: threw, start_time: 5.8, end_time: 6.1
Word: him, start_time: 6.1, end_time: 6.2
Word: down, start_time: 6.2, end_time: 6.3
Word: upon, start_time: 6.3, end_time: 6.7
Word: the, start_time: 6.7, end_time: 6.9
Word: ground, start_time: 6.9, end_time: 7.2
Word: which, start_time: 7.2, end_time: 7.8
Word: made, start_time: 7.8, end_time: 8.0
Word: people, start_time: 8.0, end_time: 8.5
Word: laugh, start_time: 8.5, end_time: 8.7
