Word: well, start_time: 0.0, end_time: 0.4
Word: there's, start_time: 0.4, end_time: 0.6000000000000001
Word: nothing, start_time: 0.6000000000000001, end_time: 0.8
Word: so, start_time: 0.8, end_time: 1.0
Word: rare, start_time: 1.0, end_time: 1.4
Word: as, start_time: 1.4, end_time: 1.6
Word: can, start_time: 1.6, end_time: 2.0
Word: compare, start_time: 2.0, end_time: 2.6
Word: with, start_time: 2.6, end_time: 2.7
Word: King, start_time: 2.7, end_time: 3.0
Word: Cole, start_time: 3.0, end_time: 3.2
Word: and, start_time: 3.2, end_time: 3.5
Word: his, start_time: 3.5, end_time: 3.5
Word: Fiddlers, start_time: 3.5, end_time: 3.9
Word: three, start_time: 3.9, end_time: 4.4
