Word: on, start_time: 1.5, end_time: 2.2
Word: Christmas, start_time: 2.2, end_time: 2.5
Word: Eve, start_time: 2.5, end_time: 2.7
Word: I, start_time: 2.7, end_time: 3.0
Word: turn, start_time: 3.0, end_time: 3.3
Word: to, start_time: 3.3, end_time: 3.4
Word: the, start_time: 3.4, end_time: 3.4
Word: spit, start_time: 3.4, end_time: 3.8
Word: I, start_time: 3.8, end_time: 4.0
Word: burnt, start_time: 4.0, end_time: 4.4
Word: my, start_time: 4.4, end_time: 4.5
Word: fingers, start_time: 4.5, end_time: 4.9
Word: I, start_time: 4.9, end_time: 5.1
Word: feel, start_time: 5.1, end_time: 5.2
Word: it, start_time: 5.2, end_time: 5.4
Word: yet, start_time: 5.4, end_time: 5.7
Word: the, start_time: 5.7, end_time: 6.3
Word: cock, start_time: 6.3, end_time: 6.6
Word: Sparrow, start_time: 6.6, end_time: 6.8
Word: flew, start_time: 6.8, end_time: 7.2
Word: over, start_time: 7.2, end_time: 7.4
Word: the, start_time: 7.4, end_time: 7.5
Word: table, start_time: 7.5, end_time: 7.9
Word: the, start_time: 7.9, end_time: 8.0
Word: pot, start_time: 8.0, end_time: 8.4
Word: began, start_time: 8.4, end_time: 8.6
Word: to, start_time: 8.6, end_time: 8.8
Word: play, start_time: 8.8, end_time: 9.1
Word: with, start_time: 9.1, end_time: 9.2
Word: the, start_time: 9.2, end_time: 9.4
Word: Lego, start_time: 9.4, end_time: 9.6
Word: the, start_time: 9.6, end_time: 9.8
Word: Lego, start_time: 9.8, end_time: 9.9
Word: stood, start_time: 9.9, end_time: 10.3
Word: up, start_time: 10.3, end_time: 10.5
Word: like, start_time: 10.5, end_time: 10.7
Word: a, start_time: 10.7, end_time: 10.7
Word: naked, start_time: 10.7, end_time: 11.0
Word: man, start_time: 11.0, end_time: 11.2
Word: and, start_time: 11.2, end_time: 11.7
Word: Doughty, start_time: 11.7, end_time: 12.1
Word: fight, start_time: 12.1, end_time: 12.4
Word: the, start_time: 12.4, end_time: 12.5
Word: frying, start_time: 12.5, end_time: 12.9
Word: pan, start_time: 12.9, end_time: 12.9
Word: The, start_time: 12.9, end_time: 13.6
Word: Frying, start_time: 13.6, end_time: 14.0
Word: Pan, start_time: 14.0, end_time: 14.1
Word: behind, start_time: 14.1, end_time: 14.5
Word: the, start_time: 14.5, end_time: 14.7
Word: door, start_time: 14.7, end_time: 15.0
Word: said, start_time: 15.0, end_time: 15.5
Word: he, start_time: 15.5, end_time: 15.6
Word: never, start_time: 15.6, end_time: 15.8
Word: saw, start_time: 15.8, end_time: 15.9
Word: the, start_time: 15.9, end_time: 16.3
Word: like, start_time: 16.3, end_time: 16.5
Word: before, start_time: 16.5, end_time: 16.6
Word: and, start_time: 16.6, end_time: 17.4
Word: the, start_time: 17.4, end_time: 17.5
Word: kitchen, start_time: 17.5, end_time: 17.9
Word: clock, start_time: 17.9, end_time: 18.2
Word: I, start_time: 18.2, end_time: 18.3
Word: was, start_time: 18.3, end_time: 18.4
Word: going, start_time: 18.4, end_time: 18.7
Word: to, start_time: 18.7, end_time: 18.8
Word: wind, start_time: 18.8, end_time: 19.3
Word: said, start_time: 19.3, end_time: 19.7
Word: he, start_time: 19.7, end_time: 19.8
Word: never, start_time: 19.8, end_time: 20.0
Word: saw, start_time: 20.0, end_time: 20.1
Word: the, start_time: 20.1, end_time: 20.5
Word: light, start_time: 20.5, end_time: 20.7
Word: behind, start_time: 20.7, end_time: 21.0
