Word: do, start_time: 0.0, end_time: 1.1
Word: you, start_time: 1.1, end_time: 1.3
Word: like, start_time: 1.3, end_time: 1.5
Word: to, start_time: 1.5, end_time: 1.6
Word: jump, start_time: 1.6, end_time: 1.7000000000000002
Word: Jack, start_time: 3.3, end_time: 3.8
Word: did, start_time: 3.8, end_time: 4.2
Word: Jack, start_time: 4.2, end_time: 5.6
Word: be, start_time: 5.6, end_time: 5.9
Word: nimble, start_time: 5.9, end_time: 5.9
Word: Jack, start_time: 5.9, end_time: 6.5
Word: be, start_time: 6.5, end_time: 6.8
Word: quick, start_time: 6.8, end_time: 7.0
Word: Jack, start_time: 7.0, end_time: 7.6
Word: jumped, start_time: 7.6, end_time: 8.1
Word: over, start_time: 8.1, end_time: 8.4
Word: the, start_time: 8.4, end_time: 8.7
Word: candlestick, start_time: 8.7, end_time: 8.8
