Word: turn, start_time: 1.4, end_time: 1.9
Word: up, start_time: 1.9, end_time: 2.0
Word: jacket, start_time: 2.0, end_time: 2.8
Word: and, start_time: 2.8, end_time: 3.0
Word: off, start_time: 3.0, end_time: 3.2
Word: to, start_time: 3.2, end_time: 3.4
Word: trot, start_time: 3.4, end_time: 3.9
Word: as, start_time: 3.9, end_time: 4.2
Word: fast, start_time: 4.2, end_time: 4.5
Word: as, start_time: 4.5, end_time: 4.7
Word: he, start_time: 4.7, end_time: 4.7
Word: could, start_time: 4.7, end_time: 5.0
Word: Caper, start_time: 5.0, end_time: 5.4
Word: old, start_time: 5.4, end_time: 6.3
Word: Dame., start_time: 6.3, end_time: 6.7
Word: Who, start_time: 6.7, end_time: 7.4
Word: patched, start_time: 7.4, end_time: 7.9
Word: his, start_time: 7.9, end_time: 8.2
Word: knob, start_time: 8.2, end_time: 8.6
Word: with, start_time: 8.6, end_time: 9.0
Word: vinegar, start_time: 9.0, end_time: 9.5
Word: and, start_time: 9.5, end_time: 9.9
Word: brown, start_time: 9.9, end_time: 10.3
Word: paper, start_time: 10.3, end_time: 10.5
