Word: rockabye, start_time: 1.6, end_time: 2.5
Word: baby, start_time: 2.5, end_time: 3.1
Word: in, start_time: 3.1, end_time: 3.8
Word: the, start_time: 3.8, end_time: 3.9
Word: treetop, start_time: 3.9, end_time: 4.0
Word: when, start_time: 4.0, end_time: 5.6
Word: the, start_time: 5.6, end_time: 5.9
Word: wind, start_time: 5.9, end_time: 6.2
Word: blows, start_time: 6.2, end_time: 6.5
Word: the, start_time: 6.5, end_time: 6.9
Word: cradle, start_time: 6.9, end_time: 7.0
Word: will, start_time: 7.0, end_time: 7.5
Word: rock, start_time: 7.5, end_time: 7.8
Word: when, start_time: 8.9, end_time: 9.4
Word: the, start_time: 9.4, end_time: 9.5
Word: bough, start_time: 9.5, end_time: 9.7
Word: breaks, start_time: 9.7, end_time: 9.9
Word: the, start_time: 9.9, end_time: 10.4
Word: cradle, start_time: 10.4, end_time: 10.5
Word: will, start_time: 10.5, end_time: 11.1
Word: fall, start_time: 11.1, end_time: 11.2
Word: and, start_time: 11.2, end_time: 12.5
Word: down, start_time: 12.5, end_time: 12.9
Word: will, start_time: 12.9, end_time: 13.1
Word: come, start_time: 13.1, end_time: 13.2
Word: baby, start_time: 13.2, end_time: 13.4
Word: cradle, start_time: 13.4, end_time: 14.7
Word: and, start_time: 14.7, end_time: 15.2
Word: all, start_time: 15.2, end_time: 15.3
Word: I, start_time: 18.0, end_time: 18.3
Word: enjoyed, start_time: 18.3, end_time: 18.8
Word: our, start_time: 18.8, end_time: 18.9
Word: visit, start_time: 18.9, end_time: 19.4
Word: I, start_time: 20.5, end_time: 20.8
Word: hope, start_time: 20.8, end_time: 21.1
Word: we, start_time: 21.1, end_time: 21.2
Word: can, start_time: 21.2, end_time: 21.2
Word: visit, start_time: 21.2, end_time: 21.7
Word: again, start_time: 21.7, end_time: 21.9
Word: soon, start_time: 21.9, end_time: 22.3
Word: sometime, start_time: 22.3, end_time: 22.8
Word: goodbye, start_time: 24.3, end_time: 24.9
Word: that's, start_time: 24.9, end_time: 26.1
Word: has, start_time: 26.1, end_time: 26.4
Word: been, start_time: 26.4, end_time: 26.8
Word: in, start_time: 26.8, end_time: 27.1
Word: Augusta, start_time: 27.1, end_time: 27.7
Word: State, start_time: 27.7, end_time: 28.0
Word: University, start_time: 28.0, end_time: 28.3
Word: I, start_time: 28.3, end_time: 29.4
Word: didn't, start_time: 29.4, end_time: 29.8
Word: text, start_time: 29.8, end_time: 30.1
Word: All, start_time: 30.1, end_time: 31.1
Word: Rights, start_time: 31.1, end_time: 31.5
Word: Reserved, start_time: 31.5, end_time: 32.2
Word: copyright, start_time: 32.2, end_time: 33.3
Word: 2009, start_time: 33.3, end_time: 34.3
Word: thanks, start_time: 34.3, end_time: 35.3
Word: for, start_time: 35.3, end_time: 35.4
Word: listening, start_time: 35.4, end_time: 36.0
