Word: another, start_time: 1.6, end_time: 2.1
Word: word, start_time: 2.1, end_time: 2.4
Word: for, start_time: 2.4, end_time: 2.5
Word: pig, start_time: 2.5, end_time: 3.1
Word: is, start_time: 3.1, end_time: 3.6
Word: swine, start_time: 3.6, end_time: 4.7
Word: and, start_time: 5.6, end_time: 6.0
Word: one, start_time: 6.0, end_time: 6.3
Word: girl, start_time: 6.3, end_time: 6.5
Word: was, start_time: 6.5, end_time: 6.8
Word: supposed, start_time: 6.8, end_time: 7.1
Word: to, start_time: 7.1, end_time: 7.2
Word: help, start_time: 7.2, end_time: 7.4
Word: feed, start_time: 7.4, end_time: 7.8
Word: them, start_time: 7.8, end_time: 7.9
Word: but, start_time: 7.9, end_time: 8.7
Word: she, start_time: 8.7, end_time: 9.0
Word: was, start_time: 9.0, end_time: 9.3
Word: too, start_time: 9.3, end_time: 9.6
Word: lazy, start_time: 9.6, end_time: 10.0
Word: Elsie, start_time: 12.0, end_time: 12.7
Word: Marley, start_time: 12.7, end_time: 13.2
Word: has, start_time: 13.2, end_time: 13.4
Word: grown, start_time: 13.4, end_time: 13.8
Word: so, start_time: 13.8, end_time: 14.1
Word: fine, start_time: 14.1, end_time: 14.5
Word: she, start_time: 14.5, end_time: 14.9
Word: won't, start_time: 14.9, end_time: 15.2
Word: get, start_time: 15.2, end_time: 15.4
Word: up, start_time: 15.4, end_time: 15.5
Word: to, start_time: 15.5, end_time: 15.8
Word: serve, start_time: 15.8, end_time: 16.1
Word: the, start_time: 16.1, end_time: 16.2
Word: swine, start_time: 16.2, end_time: 16.8
Word: but, start_time: 16.8, end_time: 17.3
Word: lies, start_time: 17.3, end_time: 17.8
Word: in, start_time: 17.8, end_time: 18.1
Word: bed, start_time: 18.1, end_time: 18.3
Word: till, start_time: 18.3, end_time: 18.8
Word: 8, start_time: 18.8, end_time: 19.1
Word: or, start_time: 19.1, end_time: 19.3
Word: 9, start_time: 19.3, end_time: 19.7
Word: and, start_time: 19.7, end_time: 20.4
Word: surely, start_time: 20.4, end_time: 21.1
Word: she, start_time: 21.1, end_time: 21.5
Word: does, start_time: 21.5, end_time: 22.0
Word: take, start_time: 22.0, end_time: 22.2
Word: her, start_time: 22.2, end_time: 22.4
Word: time, start_time: 22.4, end_time: 22.8
