Word: ride, start_time: 1.7000000000000002, end_time: 2.3
Word: a, start_time: 2.3, end_time: 2.4
Word: cock-horse, start_time: 2.4, end_time: 2.8
Word: to, start_time: 2.8, end_time: 3.3
Word: Banbury, start_time: 3.3, end_time: 3.5
Word: Cross, start_time: 3.5, end_time: 4.1
Word: to, start_time: 4.1, end_time: 4.8
Word: see, start_time: 4.8, end_time: 5.0
Word: what, start_time: 5.0, end_time: 5.3
Word: time, start_time: 5.3, end_time: 5.7
Word: he, start_time: 5.7, end_time: 5.8
Word: can, start_time: 5.8, end_time: 5.9
Word: buy, start_time: 5.9, end_time: 6.2
Word: a, start_time: 6.2, end_time: 7.1
Word: penny, start_time: 7.1, end_time: 7.5
Word: white, start_time: 7.5, end_time: 7.8
Word: Loaf, start_time: 7.8, end_time: 8.2
Word: a, start_time: 8.2, end_time: 8.5
Word: penny, start_time: 8.5, end_time: 8.9
Word: white, start_time: 8.9, end_time: 9.2
Word: cake, start_time: 9.2, end_time: 9.6
Word: and, start_time: 9.6, end_time: 10.1
Word: a, start_time: 10.1, end_time: 10.2
Word: 2, start_time: 10.2, end_time: 10.5
Word: Penny, start_time: 10.5, end_time: 10.9
Word: apple, start_time: 10.9, end_time: 11.2
Word: pie, start_time: 11.2, end_time: 11.5
