Word: maybe, start_time: 0.7000000000000001, end_time: 1.3
Word: she'll, start_time: 1.3, end_time: 1.4
Word: come, start_time: 1.4, end_time: 1.6
Word: over, start_time: 1.6, end_time: 1.7000000000000002
Word: to, start_time: 1.7000000000000002, end_time: 2.0
Word: play, start_time: 2.0, end_time: 2.2
Word: with, start_time: 2.2, end_time: 2.4
Word: Tom, start_time: 2.4, end_time: 2.8
Word: Tom, start_time: 3.9, end_time: 4.6
Word: Tom, start_time: 4.6, end_time: 4.7
Word: the, start_time: 4.7, end_time: 5.3
Word: Piper's, start_time: 5.3, end_time: 5.5
Word: son, start_time: 5.5, end_time: 6.0
Word: he, start_time: 6.0, end_time: 6.8
Word: learned, start_time: 6.8, end_time: 7.2
Word: to, start_time: 7.2, end_time: 7.3
Word: play, start_time: 7.3, end_time: 7.5
Word: when, start_time: 7.5, end_time: 7.9
Word: he, start_time: 7.9, end_time: 8.0
Word: was, start_time: 8.0, end_time: 8.1
Word: young, start_time: 8.1, end_time: 8.6
Word: he, start_time: 8.6, end_time: 9.3
Word: with, start_time: 9.3, end_time: 9.7
Word: his, start_time: 9.7, end_time: 9.8
Word: pipe, start_time: 9.8, end_time: 10.2
Word: made, start_time: 10.2, end_time: 10.6
Word: such, start_time: 10.6, end_time: 11.1
Word: a, start_time: 11.1, end_time: 11.2
Word: noise, start_time: 11.2, end_time: 11.2
Word: that, start_time: 11.2, end_time: 12.0
Word: he, start_time: 12.0, end_time: 12.2
Word: pleased, start_time: 12.2, end_time: 12.8
Word: all, start_time: 12.8, end_time: 13.3
Word: the, start_time: 13.3, end_time: 13.5
Word: girls, start_time: 13.5, end_time: 13.9
Word: and, start_time: 13.9, end_time: 14.1
Word: boys, start_time: 14.1, end_time: 14.1
