Word: sometimes, start_time: 0.0, end_time: 1.6
Word: children, start_time: 1.6, end_time: 1.8
Word: who, start_time: 1.8, end_time: 2.4
Word: go, start_time: 2.4, end_time: 2.6
Word: to, start_time: 2.6, end_time: 2.8
Word: school, start_time: 2.8, end_time: 3.2
Word: are, start_time: 3.2, end_time: 3.4
Word: called, start_time: 3.4, end_time: 3.6
Word: Scholars, start_time: 3.6, end_time: 5.1
Word: if, start_time: 5.1, end_time: 6.0
Word: a, start_time: 6.0, end_time: 6.1
Word: child, start_time: 6.1, end_time: 6.5
Word: came, start_time: 6.5, end_time: 6.9
Word: late, start_time: 6.9, end_time: 7.4
Word: a, start_time: 7.4, end_time: 7.5
Word: teacher, start_time: 7.5, end_time: 7.9
Word: might, start_time: 7.9, end_time: 8.2
Word: say, start_time: 8.2, end_time: 8.4
Word: something, start_time: 8.4, end_time: 8.9
Word: a, start_time: 8.9, end_time: 9.2
Word: little, start_time: 9.2, end_time: 9.4
Word: bit, start_time: 9.4, end_time: 9.8
Word: silly, start_time: 9.8, end_time: 10.2
Word: a, start_time: 10.2, end_time: 11.2
Word: Diller, start_time: 11.2, end_time: 11.6
Word: a, start_time: 11.6, end_time: 11.7
Word: dollar, start_time: 11.7, end_time: 11.8
Word: a, start_time: 11.8, end_time: 12.5
Word: ten, start_time: 12.5, end_time: 12.9
Word: scholar, start_time: 12.9, end_time: 13.9
Word: what, start_time: 13.9, end_time: 14.3
Word: makes, start_time: 14.3, end_time: 14.6
Word: you, start_time: 14.6, end_time: 14.7
Word: come, start_time: 14.7, end_time: 14.9
Word: so, start_time: 14.9, end_time: 15.1
Word: soon, start_time: 15.1, end_time: 15.4
Word: you, start_time: 15.4, end_time: 16.5
Word: used, start_time: 16.5, end_time: 16.8
Word: to, start_time: 16.8, end_time: 16.9
Word: come, start_time: 16.9, end_time: 17.1
Word: at, start_time: 17.1, end_time: 17.2
Word: 10, start_time: 17.2, end_time: 17.5
Word: but, start_time: 17.5, end_time: 18.7
Word: now, start_time: 18.7, end_time: 18.9
Word: you, start_time: 18.9, end_time: 19.1
Word: come, start_time: 19.1, end_time: 19.3
Word: at, start_time: 19.3, end_time: 19.5
Word: noon, start_time: 19.5, end_time: 19.9
