Word: ding, start_time: 0.2, end_time: 0.7000000000000001
Word: dong, start_time: 0.7000000000000001, end_time: 1.2
Word: bell, start_time: 1.2, end_time: 1.7000000000000002
Word: kitties, start_time: 1.7000000000000002, end_time: 2.7
Word: in, start_time: 2.7, end_time: 2.9
Word: the, start_time: 2.9, end_time: 2.9
Word: well, start_time: 2.9, end_time: 3.2
Word: who, start_time: 3.2, end_time: 4.4
Word: put, start_time: 4.4, end_time: 4.6
Word: her, start_time: 4.6, end_time: 4.8
Word: in, start_time: 4.8, end_time: 5.1
Word: Little, start_time: 5.1, end_time: 6.2
Word: Johnny, start_time: 6.2, end_time: 6.7
Word: Green, start_time: 6.7, end_time: 7.3
Word: who, start_time: 7.3, end_time: 8.4
Word: pulled, start_time: 8.4, end_time: 8.7
Word: her, start_time: 8.7, end_time: 8.8
Word: out, start_time: 8.8, end_time: 9.0
Word: little, start_time: 9.0, end_time: 10.4
Word: Johnny, start_time: 10.4, end_time: 10.8
Word: Stout, start_time: 10.8, end_time: 11.1
Word: what, start_time: 11.1, end_time: 12.6
Word: a, start_time: 12.6, end_time: 12.8
Word: naughty, start_time: 12.8, end_time: 13.3
Word: boy, start_time: 13.3, end_time: 13.5
Word: was, start_time: 13.5, end_time: 14.0
Word: that, start_time: 14.0, end_time: 14.2
Word: to, start_time: 14.2, end_time: 14.5
Word: try, start_time: 14.5, end_time: 14.9
Word: to, start_time: 14.9, end_time: 14.9
Word: drown, start_time: 14.9, end_time: 15.2
Word: Porky, start_time: 15.2, end_time: 15.9
Word: cat, start_time: 15.9, end_time: 16.4
Word: who, start_time: 16.4, end_time: 16.9
Word: never, start_time: 16.9, end_time: 17.4
Word: did, start_time: 17.4, end_time: 17.6
Word: him, start_time: 17.6, end_time: 17.8
Word: any, start_time: 17.8, end_time: 17.9
Word: harm, start_time: 17.9, end_time: 18.4
Word: and, start_time: 18.4, end_time: 19.3
Word: killed, start_time: 19.3, end_time: 19.9
Word: the, start_time: 19.9, end_time: 20.0
Word: mice, start_time: 20.0, end_time: 20.4
Word: in, start_time: 20.4, end_time: 20.6
Word: his, start_time: 20.6, end_time: 20.8
Word: father's, start_time: 20.8, end_time: 21.3
Word: Barn, start_time: 21.3, end_time: 21.9
