Word: every, start_time: 0.1, end_time: 0.8
Word: filler, start_time: 0.8, end_time: 1.1
Word: had, start_time: 1.1, end_time: 1.3
Word: a, start_time: 1.3, end_time: 1.4
Word: fatal, start_time: 1.4, end_time: 1.6
Word: so, start_time: 1.6, end_time: 1.8
Word: fine, start_time: 1.8, end_time: 2.3
Word: at, start_time: 2.3, end_time: 2.4
Word: a, start_time: 2.4, end_time: 2.5
Word: very, start_time: 2.5, end_time: 2.7
Word: fine, start_time: 2.7, end_time: 3.1
Word: people, start_time: 3.1, end_time: 3.3
Word: had, start_time: 3.3, end_time: 3.7
Word: he, start_time: 3.7, end_time: 3.9
