Word: Miss, start_time: 0.0, end_time: 0.5
Word: Jane, start_time: 0.5, end_time: 1.2
Word: had, start_time: 1.2, end_time: 1.4
Word: a, start_time: 1.4, end_time: 1.5
Word: bag, start_time: 1.5, end_time: 2.1
Word: and, start_time: 2.1, end_time: 2.6
Word: a, start_time: 2.6, end_time: 2.7
Word: mouse, start_time: 2.7, end_time: 3.2
Word: was, start_time: 3.2, end_time: 3.5
Word: in, start_time: 3.5, end_time: 3.7
Word: it, start_time: 3.7, end_time: 4.0
Word: she, start_time: 4.0, end_time: 5.1
Word: opened, start_time: 5.1, end_time: 5.5
Word: the, start_time: 5.5, end_time: 5.6
Word: bag, start_time: 5.6, end_time: 6.0
Word: he, start_time: 6.0, end_time: 6.4
Word: was, start_time: 6.4, end_time: 6.5
Word: out, start_time: 6.5, end_time: 7.0
Word: in, start_time: 7.0, end_time: 7.1
Word: a, start_time: 7.1, end_time: 7.2
Word: minute, start_time: 7.2, end_time: 7.5
Word: the, start_time: 7.5, end_time: 8.4
Word: cat, start_time: 8.4, end_time: 8.8
Word: saw, start_time: 8.8, end_time: 9.0
Word: him, start_time: 9.0, end_time: 9.2
Word: jump, start_time: 9.2, end_time: 9.7
Word: and, start_time: 9.7, end_time: 9.9
Word: run, start_time: 9.9, end_time: 10.1
Word: under, start_time: 10.1, end_time: 10.5
Word: the, start_time: 10.5, end_time: 10.7
Word: table, start_time: 10.7, end_time: 11.3
Word: and, start_time: 11.3, end_time: 11.8
Word: the, start_time: 11.8, end_time: 12.0
Word: dog, start_time: 12.0, end_time: 12.3
Word: said, start_time: 12.3, end_time: 12.6
Word: catch, start_time: 12.6, end_time: 13.3
Word: him, start_time: 13.3, end_time: 13.5
Word: cat, start_time: 13.5, end_time: 13.9
Word: soon, start_time: 13.9, end_time: 14.7
Word: as, start_time: 14.7, end_time: 14.8
Word: you're, start_time: 14.8, end_time: 15.0
Word: able, start_time: 15.0, end_time: 15.2
