Word: at, start_time: 1.1, end_time: 1.5
Word: bedtime, start_time: 1.5, end_time: 1.8
Word: in, start_time: 1.8, end_time: 2.1
Word: the, start_time: 2.1, end_time: 2.1
Word: evening, start_time: 2.1, end_time: 2.6
Word: when, start_time: 2.6, end_time: 2.7
Word: it's, start_time: 2.7, end_time: 2.9
Word: dark, start_time: 2.9, end_time: 3.3
Word: it's, start_time: 3.3, end_time: 4.0
Word: fun, start_time: 4.0, end_time: 4.5
Word: to, start_time: 4.5, end_time: 4.7
Word: imagine, start_time: 4.7, end_time: 4.7
Word: silly, start_time: 4.7, end_time: 5.7
Word: things, start_time: 5.7, end_time: 6.1
Word: hey, start_time: 7.7, end_time: 8.1
Word: diddle, start_time: 8.1, end_time: 8.5
Word: diddle, start_time: 8.5, end_time: 8.7
Word: the, start_time: 8.7, end_time: 9.0
Word: cat, start_time: 9.0, end_time: 9.1
Word: and, start_time: 9.1, end_time: 9.5
Word: the, start_time: 9.5, end_time: 9.6
Word: fiddle, start_time: 9.6, end_time: 9.7
Word: the, start_time: 9.7, end_time: 10.2
Word: cow, start_time: 10.2, end_time: 10.6
Word: jumped, start_time: 10.6, end_time: 10.8
Word: over, start_time: 10.8, end_time: 11.2
Word: the, start_time: 11.2, end_time: 11.4
Word: moon, start_time: 11.4, end_time: 11.5
Word: the, start_time: 11.5, end_time: 12.6
Word: little, start_time: 12.6, end_time: 12.9
Word: dog, start_time: 12.9, end_time: 13.3
Word: laughed, start_time: 13.3, end_time: 13.5
Word: To, start_time: 13.5, end_time: 14.1
Word: see, start_time: 14.1, end_time: 14.3
Word: such, start_time: 14.3, end_time: 14.4
Word: Sport, start_time: 14.4, end_time: 14.8
Word: and, start_time: 14.8, end_time: 15.6
Word: the, start_time: 15.6, end_time: 15.7
Word: dish, start_time: 15.7, end_time: 16.0
Word: ran, start_time: 16.0, end_time: 16.2
Word: away, start_time: 16.2, end_time: 16.4
Word: with, start_time: 16.4, end_time: 16.8
Word: the, start_time: 16.8, end_time: 16.8
Word: spoon, start_time: 16.8, end_time: 17.0
