Word: there, start_time: 0.2, end_time: 0.6000000000000001
Word: was, start_time: 0.6000000000000001, end_time: 0.9
Word: a, start_time: 0.9, end_time: 1.0
Word: little, start_time: 1.0, end_time: 1.2
Word: boy, start_time: 1.2, end_time: 1.5
Word: went, start_time: 1.5, end_time: 2.2
Word: into, start_time: 2.2, end_time: 2.5
Word: a, start_time: 2.5, end_time: 2.6
Word: barn, start_time: 2.6, end_time: 3.1
Word: and, start_time: 3.1, end_time: 3.8
Word: lay, start_time: 3.8, end_time: 4.0
Word: down, start_time: 4.0, end_time: 4.1
Word: on, start_time: 4.1, end_time: 4.6
Word: some, start_time: 4.6, end_time: 4.9
Word: hay, start_time: 4.9, end_time: 5.1
Word: a, start_time: 5.1, end_time: 6.4
Word: cat, start_time: 6.4, end_time: 6.9
Word: came, start_time: 6.9, end_time: 7.2
Word: out, start_time: 7.2, end_time: 7.3
Word: and, start_time: 7.3, end_time: 7.7
Word: smelled, start_time: 7.7, end_time: 8.3
Word: about, start_time: 8.3, end_time: 8.7
Word: and, start_time: 8.7, end_time: 9.4
Word: the, start_time: 9.4, end_time: 9.4
Word: little, start_time: 9.4, end_time: 9.8
Word: boy, start_time: 9.8, end_time: 10.1
Word: ran, start_time: 10.1, end_time: 10.8
Word: away, start_time: 10.8, end_time: 10.9
