Word: do, start_time: 1.2, end_time: 1.6
Word: you, start_time: 1.6, end_time: 1.7000000000000002
Word: like, start_time: 1.7000000000000002, end_time: 1.9
Word: riddles, start_time: 1.9, end_time: 2.1
Word: this, start_time: 3.5, end_time: 3.9
Word: is, start_time: 3.9, end_time: 4.0
Word: one, start_time: 4.0, end_time: 4.3
Word: little, start_time: 5.3, end_time: 6.0
Word: nanny, start_time: 6.0, end_time: 6.6
Word: etticoat, start_time: 6.6, end_time: 7.5
Word: in, start_time: 7.5, end_time: 8.2
Word: a, start_time: 8.2, end_time: 8.4
Word: white, start_time: 8.4, end_time: 8.8
Word: Petticoat, start_time: 8.8, end_time: 9.3
Word: and, start_time: 9.3, end_time: 10.8
Word: a, start_time: 10.8, end_time: 11.0
Word: red, start_time: 11.0, end_time: 11.3
Word: nose, start_time: 11.3, end_time: 11.8
Word: the, start_time: 11.8, end_time: 12.8
Word: longer, start_time: 12.8, end_time: 13.4
Word: she, start_time: 13.4, end_time: 13.6
Word: stands, start_time: 13.6, end_time: 14.5
Word: the, start_time: 14.5, end_time: 15.8
Word: shorter, start_time: 15.8, end_time: 15.9
Word: she, start_time: 15.9, end_time: 17.3
Word: grows, start_time: 17.3, end_time: 17.3
