Word: after, start_time: 0.9, end_time: 1.5
Word: supper, start_time: 1.5, end_time: 1.9
Word: sometimes, start_time: 1.9, end_time: 3.0
Word: it, start_time: 3.0, end_time: 3.2
Word: would, start_time: 3.2, end_time: 3.4
Word: be, start_time: 3.4, end_time: 3.5
Word: bedtime, start_time: 3.5, end_time: 3.9
Word: about, start_time: 3.9, end_time: 4.7
Word: 8, start_time: 4.7, end_time: 5.0
Word: at, start_time: 5.0, end_time: 5.7
Word: night, start_time: 5.7, end_time: 5.8
Word: Wee, start_time: 7.8, end_time: 8.4
Word: Willie, start_time: 8.4, end_time: 8.8
Word: Winkie, start_time: 8.8, end_time: 9.4
Word: runs, start_time: 9.4, end_time: 9.7
Word: through, start_time: 9.7, end_time: 10.2
Word: the, start_time: 10.2, end_time: 10.3
Word: town, start_time: 10.3, end_time: 10.7
Word: upstairs, start_time: 10.7, end_time: 11.8
Word: downstairs, start_time: 11.8, end_time: 12.3
Word: in, start_time: 12.3, end_time: 13.0
Word: his, start_time: 13.0, end_time: 13.2
Word: nightgown, start_time: 13.2, end_time: 13.4
Word: tapping, start_time: 13.4, end_time: 14.9
Word: at, start_time: 14.9, end_time: 15.0
Word: the, start_time: 15.0, end_time: 15.2
Word: window, start_time: 15.2, end_time: 15.2
Word: crying, start_time: 15.2, end_time: 16.3
Word: at, start_time: 16.3, end_time: 16.5
Word: the, start_time: 16.5, end_time: 16.6
Word: Lock, start_time: 16.6, end_time: 17.0
Word: are, start_time: 17.0, end_time: 17.9
Word: the, start_time: 17.9, end_time: 18.1
Word: children, start_time: 18.1, end_time: 18.5
Word: in, start_time: 18.5, end_time: 18.6
Word: their, start_time: 18.6, end_time: 18.8
Word: beds, start_time: 18.8, end_time: 19.3
Word: it's, start_time: 19.3, end_time: 19.8
Word: now, start_time: 19.8, end_time: 20.1
Word: eight, start_time: 20.1, end_time: 20.4
