Word: one, start_time: 1.0, end_time: 1.7000000000000002
Word: time, start_time: 1.7000000000000002, end_time: 2.0
Word: over, start_time: 2.0, end_time: 2.6
Word: this, start_time: 2.6, end_time: 2.8
Word: way, start_time: 2.8, end_time: 3.0
Word: there, start_time: 3.0, end_time: 4.0
Word: was, start_time: 4.0, end_time: 4.1
Word: a, start_time: 4.1, end_time: 4.3
Word: crooked, start_time: 4.3, end_time: 4.5
Word: man, start_time: 4.5, end_time: 4.8
Word: and, start_time: 4.8, end_time: 5.4
Word: he, start_time: 5.4, end_time: 5.6
Word: went, start_time: 5.6, end_time: 5.7
Word: a, start_time: 5.7, end_time: 5.8
Word: crooked, start_time: 5.8, end_time: 6.2
Word: mile, start_time: 6.2, end_time: 6.6
Word: he, start_time: 6.6, end_time: 7.3
Word: found, start_time: 7.3, end_time: 7.6
Word: a, start_time: 7.6, end_time: 7.6
Word: crooked, start_time: 7.6, end_time: 7.9
Word: nickel, start_time: 7.9, end_time: 8.5
Word: against, start_time: 8.5, end_time: 9.4
Word: a, start_time: 9.4, end_time: 9.4
Word: crooked, start_time: 9.4, end_time: 9.6
Word: tile, start_time: 9.6, end_time: 10.2
Word: I, start_time: 10.2, end_time: 11.2
Word: bought, start_time: 11.2, end_time: 11.4
Word: a, start_time: 11.4, end_time: 11.5
Word: crooked, start_time: 11.5, end_time: 11.7
Word: cat, start_time: 11.7, end_time: 12.1
Word: which,, start_time: 12.1, end_time: 13.1
Word: crooked, start_time: 13.1, end_time: 13.5
Word: Mouse, start_time: 13.5, end_time: 13.9
Word: and, start_time: 13.9, end_time: 14.7
Word: they, start_time: 14.7, end_time: 14.8
Word: all, start_time: 14.8, end_time: 15.2
Word: live, start_time: 15.2, end_time: 15.4
Word: together, start_time: 15.4, end_time: 15.6
Word: in, start_time: 15.6, end_time: 16.4
Word: a, start_time: 16.4, end_time: 16.6
Word: crooked, start_time: 16.6, end_time: 16.8
Word: little, start_time: 16.8, end_time: 17.3
Word: house, start_time: 17.3, end_time: 17.6
