Word: O, start_time: 0.0, end_time: 0.4
Word: is, start_time: 0.4, end_time: 1.0
Word: for, start_time: 1.0, end_time: 1.1
Word: oysters, start_time: 1.1, end_time: 1.8
Word: yummy, start_time: 1.8, end_time: 2.8
Word: to, start_time: 2.8, end_time: 3.1
Word: eat, start_time: 3.1, end_time: 3.3
Word: P, start_time: 3.3, end_time: 4.4
Word: with, start_time: 4.4, end_time: 5.1
Word: a, start_time: 5.1, end_time: 5.1
Word: person, start_time: 5.1, end_time: 5.9
Word: with, start_time: 5.9, end_time: 6.6
Word: tiny, start_time: 6.6, end_time: 7.6
Word: blue, start_time: 7.6, end_time: 8.0
Word: feet, start_time: 8.0, end_time: 8.7
Word: cold, start_time: 8.7, end_time: 11.1
Word: quick, start_time: 11.1, end_time: 12.4
Word: are, start_time: 12.4, end_time: 13.1
Word: was, start_time: 13.1, end_time: 13.4
Word: a, start_time: 13.4, end_time: 13.5
Word: robber, start_time: 13.5, end_time: 14.0
Word: who, start_time: 14.0, end_time: 14.2
Word: carried, start_time: 14.2, end_time: 14.8
Word: a, start_time: 14.8, end_time: 14.9
Word: stick, start_time: 14.9, end_time: 15.4
Word: Ross, start_time: 15.4, end_time: 16.1
Word: was, start_time: 16.1, end_time: 16.5
Word: a, start_time: 16.5, end_time: 16.5
Word: sailor, start_time: 16.5, end_time: 17.1
Word: who, start_time: 17.1, end_time: 17.6
Word: sailed, start_time: 17.6, end_time: 18.0
Word: in, start_time: 18.0, end_time: 18.2
Word: a, start_time: 18.2, end_time: 18.3
Word: ship, start_time: 18.3, end_time: 18.6
