Word: she, start_time: 1.5, end_time: 2.0
Word: found, start_time: 2.0, end_time: 2.1
Word: them, start_time: 2.1, end_time: 2.4
Word: indeed, start_time: 2.4, end_time: 2.8
Word: but, start_time: 2.8, end_time: 3.3
Word: it, start_time: 3.3, end_time: 3.4
Word: made, start_time: 3.4, end_time: 3.6
Word: her, start_time: 3.6, end_time: 3.7
Word: heart, start_time: 3.7, end_time: 3.9
Word: bleed, start_time: 3.9, end_time: 4.5
Word: for, start_time: 4.5, end_time: 4.9
Word: they, start_time: 4.9, end_time: 5.0
Word: left, start_time: 5.0, end_time: 5.6
Word: all, start_time: 5.6, end_time: 5.8
Word: their, start_time: 5.8, end_time: 5.9
Word: tails, start_time: 5.9, end_time: 6.4
Word: behind, start_time: 6.4, end_time: 6.6
Word: them, start_time: 6.6, end_time: 6.9
Word: It, start_time: 6.9, end_time: 7.7
Word: Happened, start_time: 7.7, end_time: 8.0
Word: One, start_time: 8.0, end_time: 8.3
Word: day, start_time: 8.3, end_time: 8.4
Word: is, start_time: 8.4, end_time: 8.8
Word: Bo, start_time: 8.8, end_time: 8.9
Word: Peep, start_time: 8.9, end_time: 9.3
Word: did, start_time: 9.3, end_time: 9.5
Word: stray, start_time: 9.5, end_time: 9.9
Word: into, start_time: 9.9, end_time: 10.2
Word: a, start_time: 10.2, end_time: 10.4
Word: meadow, start_time: 10.4, end_time: 10.7
Word: hard, start_time: 10.7, end_time: 11.1
Word: by, start_time: 11.1, end_time: 11.3
Word: side-by-side, start_time: 11.3, end_time: 14.0
Word: I'll, start_time: 14.0, end_time: 14.9
Word: hung, start_time: 14.9, end_time: 15.3
Word: on, start_time: 15.3, end_time: 15.5
Word: a, start_time: 15.5, end_time: 15.5
Word: tree, start_time: 15.5, end_time: 15.6
Word: to, start_time: 15.6, end_time: 16.0
Word: dry, start_time: 16.0, end_time: 16.3
