Word: birds, start_time: 0.7000000000000001, end_time: 1.2
Word: and, start_time: 1.2, end_time: 1.4
Word: animals, start_time: 1.4, end_time: 1.9
Word: are, start_time: 1.9, end_time: 2.1
Word: fun, start_time: 2.1, end_time: 2.3
Word: to, start_time: 2.3, end_time: 2.5
Word: think, start_time: 2.5, end_time: 2.6
Word: about, start_time: 2.6, end_time: 3.0
Word: and, start_time: 3.0, end_time: 3.2
Word: visit, start_time: 3.2, end_time: 3.4
Word: with, start_time: 3.4, end_time: 3.7
Word: but, start_time: 3.7, end_time: 4.5
Word: I, start_time: 4.5, end_time: 4.7
Word: especially, start_time: 4.7, end_time: 5.1
Word: like, start_time: 5.1, end_time: 5.6
Word: to, start_time: 5.6, end_time: 5.8
Word: visit, start_time: 5.8, end_time: 5.9
Word: with, start_time: 5.9, end_time: 6.2
Word: people, start_time: 6.2, end_time: 6.8
Word: and, start_time: 6.8, end_time: 7.8
Word: my, start_time: 7.8, end_time: 8.0
Word: very, start_time: 8.0, end_time: 8.4
Word: favorite, start_time: 8.4, end_time: 9.0
Word: people, start_time: 9.0, end_time: 9.4
Word: in, start_time: 9.4, end_time: 9.5
Word: the, start_time: 9.5, end_time: 9.6
Word: whole, start_time: 9.6, end_time: 9.7
Word: wide, start_time: 9.7, end_time: 10.6
Word: world, start_time: 10.6, end_time: 10.7
Word: are, start_time: 10.7, end_time: 11.7
Word: children, start_time: 11.7, end_time: 12.5
Word: grown-ups, start_time: 13.8, end_time: 14.6
Word: are, start_time: 14.6, end_time: 14.7
Word: nice, start_time: 14.7, end_time: 15.2
Word: but, start_time: 15.2, end_time: 16.2
Word: most, start_time: 16.2, end_time: 16.5
Word: of, start_time: 16.5, end_time: 16.6
Word: the, start_time: 16.6, end_time: 16.7
Word: time, start_time: 16.7, end_time: 16.8
Word: they're, start_time: 16.8, end_time: 17.4
Word: too, start_time: 17.4, end_time: 17.7
Word: busy, start_time: 17.7, end_time: 17.9
Word: with, start_time: 17.9, end_time: 18.2
Word: grown, start_time: 18.2, end_time: 18.6
Word: up, start_time: 18.6, end_time: 18.8
Word: things, start_time: 18.8, end_time: 19.2
Word: and, start_time: 19.2, end_time: 19.9
Word: don't, start_time: 19.9, end_time: 20.0
Word: have, start_time: 20.0, end_time: 20.2
Word: time, start_time: 20.2, end_time: 20.5
Word: to, start_time: 20.5, end_time: 20.7
Word: explore, start_time: 20.7, end_time: 21.4
Word: with, start_time: 21.4, end_time: 21.6
Word: their, start_time: 21.6, end_time: 21.8
Word: imaginations, start_time: 21.8, end_time: 22.3
Word: and, start_time: 22.3, end_time: 23.7
Word: even, start_time: 23.7, end_time: 24.3
Word: more, start_time: 24.3, end_time: 24.4
Word: than, start_time: 24.4, end_time: 24.6
Word: grown-ups, start_time: 24.6, end_time: 25.2
Word: children, start_time: 25.2, end_time: 26.6
Word: have, start_time: 26.6, end_time: 26.9
Word: especially, start_time: 26.9, end_time: 27.5
Word: wonderful, start_time: 27.5, end_time: 28.4
Word: imaginations, start_time: 28.4, end_time: 29.0
Word: would, start_time: 31.0, end_time: 31.4
Word: you, start_time: 31.4, end_time: 31.6
Word: like, start_time: 31.6, end_time: 31.8
Word: to, start_time: 31.8, end_time: 31.9
Word: use, start_time: 31.9, end_time: 32.0
Word: your, start_time: 32.0, end_time: 32.4
Word: imagination, start_time: 32.4, end_time: 32.5
Word: to, start_time: 32.5, end_time: 33.6
Word: explore, start_time: 33.6, end_time: 34.1
Word: some, start_time: 34.1, end_time: 34.4
Word: nursery, start_time: 34.4, end_time: 34.9
Word: rhymes, start_time: 34.9, end_time: 35.2
Word: with, start_time: 35.2, end_time: 35.3
Word: me, start_time: 35.3, end_time: 35.6
Word: do, start_time: 37.2, end_time: 37.6
Word: you, start_time: 37.6, end_time: 37.7
Word: know, start_time: 37.7, end_time: 37.8
Word: what, start_time: 37.8, end_time: 38.1
Word: rhymes, start_time: 38.1, end_time: 38.2
Word: are, start_time: 38.2, end_time: 38.8
Word: there, start_time: 38.8, end_time: 40.0
Word: words, start_time: 40.0, end_time: 40.6
Word: that, start_time: 40.6, end_time: 40.8
Word: are, start_time: 40.8, end_time: 41.0
Word: different, start_time: 41.0, end_time: 41.5
Word: but, start_time: 41.5, end_time: 42.1
Word: sound, start_time: 42.1, end_time: 42.4
Word: the, start_time: 42.4, end_time: 42.7
Word: same, start_time: 42.7, end_time: 43.0
Word: at, start_time: 43.0, end_time: 43.3
Word: the, start_time: 43.3, end_time: 43.4
Word: end, start_time: 43.4, end_time: 43.9
