Word: baba, start_time: 1.1, end_time: 2.7
Word: black, start_time: 2.7, end_time: 3.3
Word: sheep, start_time: 3.3, end_time: 3.5
Word: have, start_time: 3.5, end_time: 4.2
Word: you, start_time: 4.2, end_time: 4.5
Word: any, start_time: 4.5, end_time: 4.6
Word: wool, start_time: 4.6, end_time: 4.9
Word: yes, start_time: 4.9, end_time: 5.9
Word: sir, start_time: 5.9, end_time: 6.4
Word: yes, start_time: 6.4, end_time: 6.9
Word: sir, start_time: 6.9, end_time: 7.3
Word: three, start_time: 7.3, end_time: 7.7
Word: bags, start_time: 7.7, end_time: 8.0
Word: full, start_time: 8.0, end_time: 8.6
Word: one, start_time: 8.6, end_time: 9.6
Word: for, start_time: 9.6, end_time: 9.7
Word: my, start_time: 9.7, end_time: 9.9
Word: master, start_time: 9.9, end_time: 10.4
Word: one, start_time: 10.4, end_time: 11.0
Word: for, start_time: 11.0, end_time: 11.2
Word: my, start_time: 11.2, end_time: 11.4
Word: Dame, start_time: 11.4, end_time: 11.9
Word: and, start_time: 11.9, end_time: 12.4
Word: one, start_time: 12.4, end_time: 12.7
Word: for, start_time: 12.7, end_time: 13.0
Word: the, start_time: 13.0, end_time: 13.0
Word: little, start_time: 13.0, end_time: 13.3
Word: boy, start_time: 13.3, end_time: 13.6
Word: who, start_time: 13.6, end_time: 13.9
Word: lives, start_time: 13.9, end_time: 14.5
Word: down, start_time: 14.5, end_time: 14.8
Word: the, start_time: 14.8, end_time: 14.8
Word: lane, start_time: 14.8, end_time: 15.0
