Word: Simple, start_time: 1.6, end_time: 2.3
Word: Simon, start_time: 2.3, end_time: 3.0
Word: without, start_time: 3.0, end_time: 3.7
Word: fishing, start_time: 3.7, end_time: 4.2
Word: try, start_time: 4.2, end_time: 4.9
Word: to, start_time: 4.9, end_time: 5.2
Word: catch, start_time: 5.2, end_time: 5.6
Word: a, start_time: 5.6, end_time: 5.7
Word: whale, start_time: 5.7, end_time: 6.4
Word: but, start_time: 6.4, end_time: 7.1
Word: all, start_time: 7.1, end_time: 7.5
Word: the, start_time: 7.5, end_time: 7.7
Word: water, start_time: 7.7, end_time: 8.1
Word: that, start_time: 8.1, end_time: 8.3
Word: he, start_time: 8.3, end_time: 8.8
Word: found, start_time: 8.8, end_time: 9.1
Word: was, start_time: 9.1, end_time: 9.6
Word: in, start_time: 9.6, end_time: 9.9
Word: his, start_time: 9.9, end_time: 10.2
Word: mother's, start_time: 10.2, end_time: 10.8
Word: pale, start_time: 10.8, end_time: 11.3
Word: took, start_time: 11.3, end_time: 12.7
Word: a, start_time: 12.7, end_time: 12.7
Word: bird's, start_time: 12.7, end_time: 13.2
Word: nest, start_time: 13.2, end_time: 13.4
Word: was, start_time: 13.4, end_time: 13.9
Word: built, start_time: 13.9, end_time: 14.2
Word: upon, start_time: 14.2, end_time: 14.4
Word: a, start_time: 14.4, end_time: 14.5
Word: bound, start_time: 14.5, end_time: 15.1
Word: Branch, start_time: 15.1, end_time: 16.3
Word: gave, start_time: 16.3, end_time: 16.6
Word: way, start_time: 16.6, end_time: 16.9
Word: and, start_time: 16.9, end_time: 17.0
Word: Simon, start_time: 17.0, end_time: 17.7
Word: fell, start_time: 17.7, end_time: 18.1
Word: into, start_time: 18.1, end_time: 18.5
Word: a, start_time: 18.5, end_time: 18.6
Word: dirty, start_time: 18.6, end_time: 19.0
Word: Slough, start_time: 19.0, end_time: 19.4
Word: says, start_time: 19.4, end_time: 26.0
Word: Simon, start_time: 26.0, end_time: 26.6
Word: because, start_time: 26.6, end_time: 28.8
Word: you, start_time: 28.8, end_time: 29.1
Word: will, start_time: 29.1, end_time: 29.4
Word: not, start_time: 29.4, end_time: 29.6
Word: stay, start_time: 29.6, end_time: 30.2
