Word: Old, start_time: 0.0, end_time: 1.6
Word: Mother, start_time: 1.6, end_time: 1.8
Word: Hubbard, start_time: 1.8, end_time: 2.0
Word: she, start_time: 2.0, end_time: 2.7
Word: went, start_time: 2.7, end_time: 3.1
Word: to, start_time: 3.1, end_time: 3.3
Word: the, start_time: 3.3, end_time: 3.4
Word: cupboard, start_time: 3.4, end_time: 3.9
Word: to, start_time: 3.9, end_time: 4.2
Word: fetch, start_time: 4.2, end_time: 4.6
Word: her, start_time: 4.6, end_time: 4.7
Word: poor, start_time: 4.7, end_time: 4.9
Word: dog, start_time: 4.9, end_time: 5.2
Word: when, start_time: 5.2, end_time: 9.2
Word: she, start_time: 9.2, end_time: 9.4
Word: got, start_time: 9.4, end_time: 9.6
Word: there, start_time: 9.6, end_time: 10.0
Word: the, start_time: 10.0, end_time: 10.3
Word: cupboard, start_time: 10.3, end_time: 10.9
Word: was, start_time: 10.9, end_time: 11.1
Word: Bare, start_time: 11.1, end_time: 11.2
Word: and, start_time: 11.2, end_time: 12.4
Word: so, start_time: 12.4, end_time: 12.8
Word: the, start_time: 12.8, end_time: 13.1
Word: poor, start_time: 13.1, end_time: 13.5
Word: dog, start_time: 13.5, end_time: 14.2
Word: had, start_time: 14.2, end_time: 14.5
Word: none, start_time: 14.5, end_time: 14.8
