Word: hello, start_time: 1.0, end_time: 1.5
Word: there, start_time: 1.5, end_time: 1.8
Word: you, start_time: 3.0, end_time: 3.5
Word: seem, start_time: 3.5, end_time: 3.8
Word: very, start_time: 3.8, end_time: 4.1
Word: nice, start_time: 4.1, end_time: 4.4
Word: and, start_time: 4.4, end_time: 5.4
Word: I'm, start_time: 5.4, end_time: 5.5
Word: very, start_time: 5.5, end_time: 5.7
Word: pleased, start_time: 5.7, end_time: 6.2
Word: to, start_time: 6.2, end_time: 6.4
Word: meet, start_time: 6.4, end_time: 6.5
Word: you, start_time: 6.5, end_time: 6.9
Word: I'm, start_time: 6.9, end_time: 8.1
Word: a, start_time: 8.1, end_time: 8.2
Word: friend, start_time: 8.2, end_time: 8.5
Word: of, start_time: 8.5, end_time: 8.5
Word: Mother, start_time: 8.5, end_time: 8.9
Word: Goose, start_time: 8.9, end_time: 9.1
Word: children, start_time: 9.1, end_time: 10.9
Word: call, start_time: 10.9, end_time: 11.2
Word: me, start_time: 11.2, end_time: 11.4
Word: Father, start_time: 11.4, end_time: 11.8
Word: Goose, start_time: 11.8, end_time: 12.1
Word: because, start_time: 12.1, end_time: 12.5
Word: when, start_time: 12.5, end_time: 13.4
Word: I, start_time: 13.4, end_time: 13.6
Word: want, start_time: 13.6, end_time: 14.0
Word: to, start_time: 14.0, end_time: 14.1
Word: wander, start_time: 14.1, end_time: 14.5
Word: I, start_time: 14.5, end_time: 15.2
Word: ride, start_time: 15.2, end_time: 15.7
Word: through, start_time: 15.7, end_time: 16.0
Word: the, start_time: 16.0, end_time: 16.2
Word: air, start_time: 16.2, end_time: 16.6
Word: on, start_time: 16.6, end_time: 16.8
Word: a, start_time: 16.8, end_time: 16.9
Word: very, start_time: 16.9, end_time: 17.3
Word: fine, start_time: 17.3, end_time: 17.7
Word: gander, start_time: 17.7, end_time: 18.3
Word: at, start_time: 19.5, end_time: 19.9
Word: the, start_time: 19.9, end_time: 20.0
Word: gander, start_time: 20.0, end_time: 20.6
Word: is, start_time: 20.6, end_time: 21.0
Word: what, start_time: 21.0, end_time: 21.2
Word: they, start_time: 21.2, end_time: 21.4
Word: call, start_time: 21.4, end_time: 21.5
Word: a, start_time: 21.5, end_time: 21.8
Word: boy, start_time: 21.8, end_time: 22.0
Word: goose, start_time: 22.0, end_time: 22.6
Word: I, start_time: 23.7, end_time: 24.0
Word: like, start_time: 24.0, end_time: 24.4
Word: birds, start_time: 24.4, end_time: 24.7
Word: and, start_time: 24.7, end_time: 25.0
Word: animals, start_time: 25.0, end_time: 25.5
Word: and, start_time: 25.5, end_time: 25.6
Word: I, start_time: 25.6, end_time: 26.1
Word: like, start_time: 26.1, end_time: 26.3
Word: people, start_time: 26.3, end_time: 26.6
Word: but, start_time: 26.6, end_time: 26.9
Word: most, start_time: 26.9, end_time: 27.9
Word: of, start_time: 27.9, end_time: 28.0
Word: all, start_time: 28.0, end_time: 28.1
Word: I, start_time: 28.1, end_time: 28.4
Word: especially, start_time: 28.4, end_time: 28.9
Word: like, start_time: 28.9, end_time: 29.6
Word: children, start_time: 29.6, end_time: 30.2
Word: children, start_time: 30.2, end_time: 31.3
Word: aren't, start_time: 31.3, end_time: 31.7
Word: as, start_time: 31.7, end_time: 31.8
Word: big, start_time: 31.8, end_time: 32.1
Word: and, start_time: 32.1, end_time: 32.9
Word: strong, start_time: 32.9, end_time: 32.9
Word: as, start_time: 32.9, end_time: 33.4
Word: grown-ups, start_time: 33.4, end_time: 34.0
Word: but, start_time: 34.0, end_time: 34.2
Word: one, start_time: 34.2, end_time: 34.8
Word: thing, start_time: 34.8, end_time: 35.1
Word: children, start_time: 35.1, end_time: 35.4
Word: are, start_time: 35.4, end_time: 35.7
Word: very, start_time: 35.7, end_time: 36.2
Word: very, start_time: 36.2, end_time: 36.4
Word: good, start_time: 36.4, end_time: 37.0
Word: at, start_time: 37.0, end_time: 37.4
Word: better, start_time: 37.4, end_time: 38.3
Word: than, start_time: 38.3, end_time: 38.5
Word: most, start_time: 38.5, end_time: 38.7
Word: grown-ups, start_time: 38.7, end_time: 39.2
Word: I, start_time: 39.2, end_time: 39.4
Word: think, start_time: 39.4, end_time: 39.8
Word: is, start_time: 39.8, end_time: 40.8
Word: using, start_time: 40.8, end_time: 41.5
Word: their, start_time: 41.5, end_time: 41.7
Word: imaginations, start_time: 41.7, end_time: 43.0
Word: would, start_time: 43.5, end_time: 44.6
Word: you, start_time: 44.6, end_time: 44.8
Word: like, start_time: 44.8, end_time: 45.0
Word: to, start_time: 45.0, end_time: 45.1
Word: use, start_time: 45.1, end_time: 45.2
Word: your, start_time: 45.2, end_time: 45.5
Word: imagination, start_time: 45.5, end_time: 45.7
Word: to, start_time: 45.7, end_time: 46.9
Word: come, start_time: 46.9, end_time: 47.2
Word: with, start_time: 47.2, end_time: 47.4
Word: me, start_time: 47.4, end_time: 47.6
Word: and, start_time: 47.6, end_time: 47.9
Word: visit, start_time: 47.9, end_time: 48.0
Word: some, start_time: 48.0, end_time: 48.6
Word: of, start_time: 48.6, end_time: 48.7
Word: my, start_time: 48.7, end_time: 49.0
Word: friends, start_time: 49.0, end_time: 49.4
