Word: Bonnie, start_time: 0.2, end_time: 0.8
Word: lass, start_time: 0.8, end_time: 1.2
Word: pretty, start_time: 1.2, end_time: 1.7000000000000002
Word: lass, start_time: 1.7000000000000002, end_time: 2.1
Word: will, start_time: 2.1, end_time: 2.7
Word: you, start_time: 2.7, end_time: 2.9
Word: be, start_time: 2.9, end_time: 3.1
Word: mine, start_time: 3.1, end_time: 3.5
Word: you, start_time: 3.5, end_time: 4.5
Word: shall, start_time: 4.5, end_time: 5.0
Word: not, start_time: 5.0, end_time: 5.2
Word: wash, start_time: 5.2, end_time: 5.6
Word: dishes, start_time: 5.6, end_time: 6.0
Word: know, start_time: 6.0, end_time: 6.7
Word: yet, start_time: 6.7, end_time: 7.0
Word: serve, start_time: 7.0, end_time: 7.3
Word: the, start_time: 7.3, end_time: 7.5
Word: swine, start_time: 7.5, end_time: 8.1
Word: you, start_time: 8.1, end_time: 9.4
Word: shall, start_time: 9.4, end_time: 9.7
Word: sit, start_time: 9.7, end_time: 10.0
Word: on, start_time: 10.0, end_time: 10.2
Word: a, start_time: 10.2, end_time: 10.2
Word: cushion, start_time: 10.2, end_time: 10.5
Word: and, start_time: 10.5, end_time: 11.4
Word: sew, start_time: 11.4, end_time: 11.8
Word: a, start_time: 11.8, end_time: 11.9
Word: fine, start_time: 11.9, end_time: 12.3
Word: seam, start_time: 12.3, end_time: 12.9
Word: and, start_time: 12.9, end_time: 14.3
Word: you, start_time: 14.3, end_time: 14.6
Word: shall, start_time: 14.6, end_time: 15.0
Word: eat, start_time: 15.0, end_time: 15.1
Word: strawberries, start_time: 15.1, end_time: 16.2
Word: sugar, start_time: 16.2, end_time: 16.8
Word: and, start_time: 16.8, end_time: 17.1
Word: cream, start_time: 17.1, end_time: 17.8
