Word: I'll, start_time: 2.1, end_time: 2.5
Word: sing, start_time: 2.5, end_time: 2.9
Word: you, start_time: 2.9, end_time: 3.0
Word: a, start_time: 3.0, end_time: 3.1
Word: song, start_time: 3.1, end_time: 3.2
Word: the, start_time: 3.2, end_time: 3.8
Word: days, start_time: 3.8, end_time: 4.2
Word: are, start_time: 4.2, end_time: 4.4
Word: long, start_time: 4.4, end_time: 4.8
Word: the, start_time: 4.8, end_time: 5.0
Word: Woodcock, start_time: 5.0, end_time: 5.8
Word: and, start_time: 5.8, end_time: 5.9
Word: the, start_time: 5.9, end_time: 6.1
Word: sparrow, start_time: 6.1, end_time: 6.6
Word: the, start_time: 6.6, end_time: 7.6
Word: little, start_time: 7.6, end_time: 7.9
Word: dog, start_time: 7.9, end_time: 8.3
Word: he, start_time: 8.3, end_time: 8.6
Word: has, start_time: 8.6, end_time: 8.9
Word: burned, start_time: 8.9, end_time: 9.5
Word: his, start_time: 9.5, end_time: 9.6
Word: tail, start_time: 9.6, end_time: 9.9
Word: and, start_time: 9.9, end_time: 10.4
Word: he, start_time: 10.4, end_time: 10.6
Word: must, start_time: 10.6, end_time: 10.8
Word: be, start_time: 10.8, end_time: 11.2
Word: hang, start_time: 11.2, end_time: 11.6
Word: tomorrow, start_time: 11.6, end_time: 12.0
