Word: there, start_time: 2.5, end_time: 2.9
Word: was, start_time: 2.9, end_time: 3.2
Word: an, start_time: 3.2, end_time: 3.3
Word: old, start_time: 3.3, end_time: 3.4
Word: man, start_time: 3.4, end_time: 3.7
Word: and, start_time: 3.7, end_time: 4.2
Word: he, start_time: 4.2, end_time: 4.3
Word: had, start_time: 4.3, end_time: 4.5
Word: a, start_time: 4.5, end_time: 4.6
Word: calf, start_time: 4.6, end_time: 5.1
Word: and, start_time: 5.1, end_time: 5.8
Word: that's, start_time: 5.8, end_time: 6.1
Word: half, start_time: 6.1, end_time: 6.5
Word: he, start_time: 6.5, end_time: 7.5
Word: took, start_time: 7.5, end_time: 7.8
Word: him, start_time: 7.8, end_time: 7.9
Word: out, start_time: 7.9, end_time: 8.2
Word: of, start_time: 8.2, end_time: 8.4
Word: the, start_time: 8.4, end_time: 8.5
Word: stall, start_time: 8.5, end_time: 9.1
Word: and, start_time: 9.1, end_time: 9.3
Word: put, start_time: 9.3, end_time: 9.5
Word: him, start_time: 9.5, end_time: 9.7
Word: on, start_time: 9.7, end_time: 9.7
Word: the, start_time: 9.7, end_time: 10.0
Word: wall, start_time: 10.0, end_time: 10.3
Word: and, start_time: 10.3, end_time: 11.1
Word: that's, start_time: 11.1, end_time: 11.5
Word: all, start_time: 11.5, end_time: 11.8
