Word: A, start_time: 1.4, end_time: 1.7000000000000002
Word: +, start_time: 1.7000000000000002, end_time: 2.4
Word: B, start_time: 2.4, end_time: 2.7
Word: +, start_time: 2.7, end_time: 3.0
Word: C, start_time: 3.0, end_time: 3.3
Word: big, start_time: 3.3, end_time: 4.5
Word: a, start_time: 4.5, end_time: 4.7
Word: little, start_time: 4.7, end_time: 5.6
Word: a, start_time: 5.6, end_time: 5.9
Word: bouncing, start_time: 5.9, end_time: 7.4
Word: B, start_time: 7.4, end_time: 7.7
Word: the, start_time: 7.7, end_time: 8.6
Word: cats, start_time: 8.6, end_time: 9.1
Word: in, start_time: 9.1, end_time: 9.3
Word: the, start_time: 9.3, end_time: 9.4
Word: cupboard, start_time: 9.4, end_time: 9.9
Word: and, start_time: 9.9, end_time: 10.2
Word: she, start_time: 10.2, end_time: 10.5
Word: can't, start_time: 10.5, end_time: 11.0
Word: see, start_time: 11.0, end_time: 11.3
