Word: who, start_time: 1.8, end_time: 2.3
Word: sang, start_time: 2.3, end_time: 3.4
Word: the, start_time: 3.4, end_time: 3.5
Word: blue, start_time: 3.5, end_time: 3.8
Word: fly, start_time: 3.8, end_time: 4.2
Word: sang, start_time: 4.2, end_time: 6.3
Word: the, start_time: 6.3, end_time: 6.4
Word: bee, start_time: 6.4, end_time: 6.6
Word: buzz, start_time: 6.6, end_time: 7.7
Word: and, start_time: 7.7, end_time: 8.2
Word: they, start_time: 8.2, end_time: 8.9
Word: sing, start_time: 8.9, end_time: 9.5
Word: and, start_time: 9.5, end_time: 10.2
Word: so, start_time: 10.2, end_time: 10.4
Word: do, start_time: 10.4, end_time: 10.5
Word: we, start_time: 10.5, end_time: 10.7
Word: and, start_time: 10.7, end_time: 12.1
Word: his, start_time: 12.1, end_time: 12.4
Word: ear, start_time: 12.4, end_time: 12.9
Word: in, start_time: 12.9, end_time: 13.3
Word: his, start_time: 13.3, end_time: 13.4
Word: nose, start_time: 13.4, end_time: 13.7
Word: bus, start_time: 13.7, end_time: 14.7
Word: do, start_time: 14.7, end_time: 14.8
Word: you, start_time: 14.8, end_time: 15.0
Word: see, start_time: 15.0, end_time: 15.2
Word: he, start_time: 15.2, end_time: 16.2
Word: ate, start_time: 16.2, end_time: 16.5
Word: the, start_time: 16.5, end_time: 16.7
Word: Dormouse, start_time: 16.7, end_time: 17.2
Word: else, start_time: 17.2, end_time: 17.9
Word: it, start_time: 17.9, end_time: 18.3
Word: was, start_time: 18.3, end_time: 18.4
Word: he, start_time: 18.4, end_time: 18.6
