Word: three, start_time: 1.7000000000000002, end_time: 2.2
Word: wise, start_time: 2.2, end_time: 2.6
Word: men, start_time: 2.6, end_time: 2.7
Word: of, start_time: 2.7, end_time: 3.0
Word: Gotham, start_time: 3.0, end_time: 3.2
Word: they, start_time: 3.2, end_time: 4.3
Word: went, start_time: 4.3, end_time: 4.8
Word: to, start_time: 4.8, end_time: 4.9
Word: sea, start_time: 4.9, end_time: 5.2
Word: in, start_time: 5.2, end_time: 5.5
Word: a, start_time: 5.5, end_time: 5.7
Word: bowl, start_time: 5.7, end_time: 6.0
Word: and, start_time: 6.0, end_time: 6.9
Word: if, start_time: 6.9, end_time: 7.0
Word: the, start_time: 7.0, end_time: 7.2
Word: boy, start_time: 7.2, end_time: 7.3
Word: had, start_time: 7.3, end_time: 7.5
Word: been, start_time: 7.5, end_time: 7.7
Word: stronger, start_time: 7.7, end_time: 8.2
Word: my, start_time: 8.2, end_time: 9.1
Word: song, start_time: 9.1, end_time: 9.4
Word: would, start_time: 9.4, end_time: 9.6
Word: be, start_time: 9.6, end_time: 9.8
Word: longer, start_time: 9.8, end_time: 10.2
