Word: and, start_time: 1.2, end_time: 1.6
Word: here's, start_time: 1.6, end_time: 1.9
Word: another, start_time: 1.9, end_time: 2.1
Word: way, start_time: 2.1, end_time: 2.5
Word: to, start_time: 2.5, end_time: 2.7
Word: say, start_time: 2.7, end_time: 2.9
Word: it, start_time: 2.9, end_time: 3.0
Word: ladybug, start_time: 4.2, end_time: 5.4
Word: ladybug, start_time: 5.4, end_time: 6.3
Word: Fly, start_time: 6.3, end_time: 6.6
Word: Away, start_time: 6.6, end_time: 6.8
Word: Home, start_time: 6.8, end_time: 7.2
Word: your, start_time: 7.2, end_time: 7.7
Word: house, start_time: 7.7, end_time: 8.1
Word: is, start_time: 8.1, end_time: 8.3
Word: on, start_time: 8.3, end_time: 8.4
Word: fire, start_time: 8.4, end_time: 8.7
Word: your, start_time: 8.7, end_time: 9.1
Word: children, start_time: 9.1, end_time: 9.6
Word: have, start_time: 9.6, end_time: 9.8
Word: gone, start_time: 9.8, end_time: 10.0
Word: all, start_time: 10.0, end_time: 11.1
Word: except, start_time: 11.1, end_time: 11.6
Word: one, start_time: 11.6, end_time: 11.9
Word: who, start_time: 11.9, end_time: 12.3
Word: lies, start_time: 12.3, end_time: 12.6
Word: under, start_time: 12.6, end_time: 12.9
Word: a, start_time: 12.9, end_time: 13.0
Word: stone, start_time: 13.0, end_time: 13.6
Word: fly, start_time: 13.6, end_time: 14.6
Word: home, start_time: 14.6, end_time: 14.9
Word: fast, start_time: 14.9, end_time: 15.5
Word: ladybug, start_time: 15.5, end_time: 16.2
Word: before, start_time: 16.2, end_time: 16.7
Word: it, start_time: 16.7, end_time: 16.8
Word: is, start_time: 16.8, end_time: 16.9
Word: gone, start_time: 16.9, end_time: 17.3
