Word: then, start_time: 1.4, end_time: 1.9
Word: Simple, start_time: 1.9, end_time: 2.1
Word: Simon, start_time: 2.1, end_time: 2.6
Word: went, start_time: 2.6, end_time: 2.8
Word: out, start_time: 2.8, end_time: 2.9
Word: hunting, start_time: 2.9, end_time: 3.1
Word: tried, start_time: 3.1, end_time: 3.9
Word: to, start_time: 3.9, end_time: 4.0
Word: catch, start_time: 4.0, end_time: 4.1
Word: a, start_time: 4.1, end_time: 4.2
Word: bear, start_time: 4.2, end_time: 4.5
Word: he, start_time: 4.5, end_time: 5.0
Word: wrote, start_time: 5.0, end_time: 5.3
Word: a, start_time: 5.3, end_time: 5.3
Word: goat, start_time: 5.3, end_time: 5.6
Word: about, start_time: 5.6, end_time: 5.9
Word: the, start_time: 5.9, end_time: 6.1
Word: street, start_time: 6.1, end_time: 6.4
Word: but, start_time: 6.4, end_time: 6.7
Word: could, start_time: 6.7, end_time: 6.9
Word: not, start_time: 6.9, end_time: 7.0
Word: find, start_time: 7.0, end_time: 7.3
Word: one, start_time: 7.3, end_time: 7.6
Word: there, start_time: 7.6, end_time: 7.8
Word: to, start_time: 7.8, end_time: 9.1
Word: eat, start_time: 9.1, end_time: 9.6
Word: some, start_time: 9.6, end_time: 9.9
Word: honey, start_time: 9.9, end_time: 10.3
Word: out, start_time: 10.3, end_time: 10.6
Word: of, start_time: 10.6, end_time: 10.7
Word: the, start_time: 10.7, end_time: 10.8
Word: pepper, start_time: 10.8, end_time: 11.3
Word: pot, start_time: 11.3, end_time: 11.7
Word: he, start_time: 11.7, end_time: 12.2
Word: bit, start_time: 12.2, end_time: 12.5
Word: his, start_time: 12.5, end_time: 12.6
Word: tongue, start_time: 12.6, end_time: 12.8
Word: until, start_time: 12.8, end_time: 13.3
Word: the, start_time: 13.3, end_time: 13.9
Word: purple, start_time: 13.9, end_time: 15.2
Word: was, start_time: 15.2, end_time: 15.4
Word: too, start_time: 15.4, end_time: 15.8
Word: hot, start_time: 15.8, end_time: 16.4
