Word: most, start_time: 0.0, end_time: 0.7000000000000001
Word: sheep, start_time: 0.7000000000000001, end_time: 1.1
Word: have, start_time: 1.1, end_time: 1.3
Word: white, start_time: 1.3, end_time: 1.6
Word: wool, start_time: 1.6, end_time: 2.2
Word: but, start_time: 2.2, end_time: 3.2
Word: I, start_time: 3.2, end_time: 3.3
Word: especially, start_time: 3.3, end_time: 3.8
Word: like, start_time: 3.8, end_time: 4.4
Word: sheep, start_time: 4.4, end_time: 4.8
Word: with, start_time: 4.8, end_time: 5.0
Word: black, start_time: 5.0, end_time: 5.3
Word: wool, start_time: 5.3, end_time: 6.0
Word: I, start_time: 6.0, end_time: 7.1
Word: wonder, start_time: 7.1, end_time: 7.5
Word: if, start_time: 7.5, end_time: 7.6
Word: Bo, start_time: 7.6, end_time: 7.8
Word: Peep, start_time: 7.8, end_time: 8.2
Word: had, start_time: 8.2, end_time: 8.4
Word: any, start_time: 8.4, end_time: 8.7
Word: baa, start_time: 10.8, end_time: 11.2
Word: baa, start_time: 11.2, end_time: 11.4
Word: black, start_time: 11.4, end_time: 11.7
Word: sheep, start_time: 11.7, end_time: 12.6
Word: have, start_time: 12.6, end_time: 13.2
Word: you, start_time: 13.2, end_time: 13.4
Word: any, start_time: 13.4, end_time: 13.6
Word: wool, start_time: 13.6, end_time: 14.1
Word: yes, start_time: 14.1, end_time: 15.2
Word: sir, start_time: 15.2, end_time: 15.7
Word: yes, start_time: 15.7, end_time: 16.2
Word: sir, start_time: 16.2, end_time: 16.7
Word: three, start_time: 16.7, end_time: 16.8
Word: bags, start_time: 16.8, end_time: 17.7
Word: full, start_time: 17.7, end_time: 18.3
Word: one, start_time: 18.3, end_time: 19.6
Word: for, start_time: 19.6, end_time: 20.0
Word: my, start_time: 20.0, end_time: 20.2
Word: master, start_time: 20.2, end_time: 21.0
Word: one, start_time: 21.0, end_time: 23.7
Word: for, start_time: 23.7, end_time: 24.1
Word: the, start_time: 24.1, end_time: 24.3
Word: little, start_time: 24.3, end_time: 24.6
Word: boy, start_time: 24.6, end_time: 25.0
Word: who, start_time: 25.0, end_time: 25.4
Word: lives, start_time: 25.4, end_time: 25.9
Word: down, start_time: 25.9, end_time: 26.2
Word: the, start_time: 26.2, end_time: 26.4
Word: lane, start_time: 26.4, end_time: 26.6
