Word: he, start_time: 0.0, end_time: 0.30000000000000004
Word: was, start_time: 0.30000000000000004, end_time: 0.6000000000000001
Word: an, start_time: 0.6000000000000001, end_time: 0.8
Word: Esquire, start_time: 0.8, end_time: 1.3
Word: with, start_time: 1.3, end_time: 1.5
Word: a, start_time: 1.5, end_time: 1.6
Word: big, start_time: 1.6, end_time: 2.2
Word: eyebrow, start_time: 2.2, end_time: 2.8
Word: was, start_time: 2.8, end_time: 3.7
Word: a, start_time: 3.7, end_time: 3.8
Word: farmer, start_time: 3.8, end_time: 4.4
Word: and, start_time: 4.4, end_time: 4.6
Word: followed, start_time: 4.6, end_time: 5.2
Word: the, start_time: 5.2, end_time: 5.4
Word: plow, start_time: 5.4, end_time: 5.7
Word: G, start_time: 5.7, end_time: 6.5
Word: was, start_time: 6.5, end_time: 7.0
Word: a, start_time: 7.0, end_time: 7.1
Word: gambler, start_time: 7.1, end_time: 7.7
Word: who, start_time: 7.7, end_time: 7.9
Word: had, start_time: 7.9, end_time: 8.4
Word: very, start_time: 8.4, end_time: 8.9
Word: bad, start_time: 8.9, end_time: 9.1
Word: luck, start_time: 9.1, end_time: 9.4
Word: H, start_time: 9.4, end_time: 10.4
Word: was, start_time: 10.4, end_time: 11.0
Word: a, start_time: 11.0, end_time: 11.1
Word: hunter, start_time: 11.1, end_time: 11.7
Word: who, start_time: 11.7, end_time: 12.0
Word: hunted, start_time: 12.0, end_time: 12.5
Word: a, start_time: 12.5, end_time: 12.8
Word: buck, start_time: 12.8, end_time: 13.3
Word: or, start_time: 13.3, end_time: 14.0
Word: I, start_time: 14.0, end_time: 14.1
Word: was, start_time: 14.1, end_time: 14.4
Word: an, start_time: 14.4, end_time: 14.5
Word: Innkeeper, start_time: 14.5, end_time: 15.2
Word: Who, start_time: 15.2, end_time: 15.3
Word: Loved, start_time: 15.3, end_time: 15.9
Word: about, start_time: 15.9, end_time: 16.2
