Word: sometimes, start_time: 1.3, end_time: 2.2
Word: it's, start_time: 2.2, end_time: 2.7
Word: foggy, start_time: 2.7, end_time: 3.1
Word: in, start_time: 3.1, end_time: 3.6
Word: London, start_time: 3.6, end_time: 4.1
Word: one, start_time: 5.4, end_time: 5.9
Word: Misty, start_time: 5.9, end_time: 6.5
Word: moisty, start_time: 6.5, end_time: 6.6
Word: morning, start_time: 6.6, end_time: 7.5
Word: when, start_time: 7.5, end_time: 8.4
Word: cloudy, start_time: 8.4, end_time: 8.9
Word: was, start_time: 8.9, end_time: 9.2
Word: the, start_time: 9.2, end_time: 9.3
Word: weather, start_time: 9.3, end_time: 9.7
Word: I, start_time: 9.7, end_time: 10.4
Word: chanced, start_time: 10.4, end_time: 11.1
Word: to, start_time: 11.1, end_time: 11.3
Word: meet, start_time: 11.3, end_time: 11.4
Word: an, start_time: 11.4, end_time: 11.7
Word: old, start_time: 11.7, end_time: 12.1
Word: man, start_time: 12.1, end_time: 12.5
Word: clothes, start_time: 12.5, end_time: 13.6
Word: all, start_time: 13.6, end_time: 13.9
Word: in, start_time: 13.9, end_time: 14.2
Word: leather, start_time: 14.2, end_time: 14.5
Word: clothes, start_time: 14.5, end_time: 16.0
Word: all, start_time: 16.0, end_time: 16.3
Word: in, start_time: 16.3, end_time: 16.5
Word: leather, start_time: 16.5, end_time: 16.7
Word: with, start_time: 16.7, end_time: 17.3
Word: his, start_time: 17.3, end_time: 17.5
Word: cap, start_time: 17.5, end_time: 17.9
Word: under, start_time: 17.9, end_time: 18.2
Word: his, start_time: 18.2, end_time: 18.4
Word: chin, start_time: 18.4, end_time: 18.8
Word: how, start_time: 18.8, end_time: 19.7
Word: do, start_time: 19.7, end_time: 19.9
Word: you, start_time: 19.9, end_time: 20.0
Word: do, start_time: 20.0, end_time: 20.3
Word: when, start_time: 20.3, end_time: 20.7
Word: how, start_time: 20.7, end_time: 21.6
Word: do, start_time: 21.6, end_time: 21.7
Word: you, start_time: 21.7, end_time: 21.8
Word: doing, start_time: 21.8, end_time: 22.4
Word: how, start_time: 22.4, end_time: 22.9
Word: do, start_time: 22.9, end_time: 23.0
Word: you, start_time: 23.0, end_time: 23.1
Word: do, start_time: 23.1, end_time: 23.3
Word: again, start_time: 23.3, end_time: 23.6
