Word: Lucy, start_time: 0.1, end_time: 0.8
Word: Locket, start_time: 0.8, end_time: 1.4
Word: lost, start_time: 1.4, end_time: 1.6
Word: her, start_time: 1.6, end_time: 2.0
Word: pocket, start_time: 2.0, end_time: 2.2
Word: Kitty, start_time: 2.2, end_time: 3.5
Word: Fisher, start_time: 3.5, end_time: 3.7
Word: found, start_time: 3.7, end_time: 4.2
Word: it, start_time: 4.2, end_time: 4.7
Word: there, start_time: 4.7, end_time: 5.7
Word: was, start_time: 5.7, end_time: 5.8
Word: not, start_time: 5.8, end_time: 6.3
Word: a, start_time: 6.3, end_time: 6.4
Word: penny, start_time: 6.4, end_time: 7.0
Word: in, start_time: 7.0, end_time: 7.2
Word: it, start_time: 7.2, end_time: 7.4
Word: but, start_time: 7.4, end_time: 8.2
Word: a, start_time: 8.2, end_time: 8.2
Word: ribbon, start_time: 8.2, end_time: 8.7
Word: around, start_time: 8.7, end_time: 9.0
Word: it, start_time: 9.0, end_time: 9.5
