Word: Daffy, start_time: 0.2, end_time: 0.8
Word: Down, start_time: 0.8, end_time: 1.0
Word: Dilly, start_time: 1.0, end_time: 1.2
Word: is, start_time: 1.2, end_time: 2.0
Word: now, start_time: 2.0, end_time: 2.2
Word: come, start_time: 2.2, end_time: 2.5
Word: to, start_time: 2.5, end_time: 2.6
Word: town, start_time: 2.6, end_time: 2.9
Word: with, start_time: 2.9, end_time: 3.8
Word: a, start_time: 3.8, end_time: 3.9
Word: green, start_time: 3.9, end_time: 4.4
Word: Petticoat, start_time: 4.4, end_time: 5.1
Word: and, start_time: 5.1, end_time: 5.6
Word: a, start_time: 5.6, end_time: 5.7
Word: bright, start_time: 5.7, end_time: 6.2
Word: yellow, start_time: 6.2, end_time: 6.6
Word: gown, start_time: 6.6, end_time: 7.2
