Word: rockabye, start_time: 1.3, end_time: 2.8
Word: baby, start_time: 2.8, end_time: 4.1
Word: in, start_time: 4.1, end_time: 4.9
Word: the, start_time: 4.9, end_time: 5.0
Word: treetop, start_time: 5.0, end_time: 5.3
Word: when, start_time: 5.3, end_time: 7.7
Word: the, start_time: 7.7, end_time: 8.0
Word: cradle, start_time: 8.0, end_time: 10.8
Word: will, start_time: 10.8, end_time: 11.7
Word: rock, start_time: 11.7, end_time: 11.9
Word: when, start_time: 11.9, end_time: 14.0
Word: the, start_time: 14.0, end_time: 14.3
Word: bough, start_time: 14.3, end_time: 14.6
Word: breaks, start_time: 14.6, end_time: 14.6
Word: the, start_time: 14.6, end_time: 16.1
Word: cradle, start_time: 16.1, end_time: 16.3
Word: will, start_time: 16.3, end_time: 17.8
Word: fall, start_time: 17.8, end_time: 18.0
Word: and, start_time: 18.0, end_time: 19.7
Word: down, start_time: 19.7, end_time: 20.4
Word: will, start_time: 20.4, end_time: 20.8
Word: come, start_time: 20.8, end_time: 21.0
Word: baby, start_time: 21.0, end_time: 21.5
Word: cradle, start_time: 21.5, end_time: 23.5
Word: and, start_time: 23.5, end_time: 25.3
Word: all, start_time: 25.3, end_time: 25.5
Word: I'm, start_time: 29.2, end_time: 29.6
Word: so, start_time: 29.6, end_time: 30.0
Word: very, start_time: 30.0, end_time: 30.2
Word: happy, start_time: 30.2, end_time: 30.5
Word: that, start_time: 30.5, end_time: 30.9
Word: we've, start_time: 30.9, end_time: 31.1
Word: had, start_time: 31.1, end_time: 31.2
Word: our, start_time: 31.2, end_time: 31.4
Word: visit, start_time: 31.4, end_time: 31.8
Word: please, start_time: 31.8, end_time: 33.0
Word: invite, start_time: 33.0, end_time: 33.5
Word: me, start_time: 33.5, end_time: 33.6
Word: to, start_time: 33.6, end_time: 33.8
Word: come, start_time: 33.8, end_time: 34.0
Word: again, start_time: 34.0, end_time: 34.2
Word: sometime, start_time: 34.2, end_time: 34.7
Word: goodbye, start_time: 35.8, end_time: 36.4
Word: this, start_time: 38.1, end_time: 38.7
Word: has, start_time: 38.7, end_time: 39.0
Word: been, start_time: 39.0, end_time: 39.2
Word: and, start_time: 39.2, end_time: 39.7
Word: I, start_time: 39.7, end_time: 39.8
Word: guess, start_time: 39.8, end_time: 40.0
Word: the, start_time: 40.0, end_time: 40.3
Word: State, start_time: 40.3, end_time: 40.6
Word: University, start_time: 40.6, end_time: 41.7
Word: I, start_time: 41.7, end_time: 42.0
Word: didn't, start_time: 42.0, end_time: 42.4
Word: text, start_time: 42.4, end_time: 42.7
Word: All, start_time: 42.7, end_time: 43.6
Word: Rights, start_time: 43.6, end_time: 44.1
Word: Reserved, start_time: 44.1, end_time: 44.7
Word: copyright, start_time: 44.7, end_time: 45.9
Word: 2009, start_time: 45.9, end_time: 46.9
