Word: T, start_time: 0.2, end_time: 0.8
Word: was, start_time: 0.8, end_time: 1.5
Word: a, start_time: 1.5, end_time: 1.6
Word: tinker, start_time: 1.6, end_time: 2.2
Word: who, start_time: 2.2, end_time: 2.6
Word: made, start_time: 2.6, end_time: 2.9
Word: holes, start_time: 2.9, end_time: 3.7
Word: in, start_time: 3.7, end_time: 4.3
Word: a, start_time: 4.3, end_time: 4.4
Word: tub, start_time: 4.4, end_time: 4.9
Word: W, start_time: 4.9, end_time: 13.6
Word: was, start_time: 13.6, end_time: 13.9
Word: a, start_time: 13.9, end_time: 14.0
Word: Watchman, start_time: 14.0, end_time: 14.6
Word: who, start_time: 14.6, end_time: 15.1
Word: watched, start_time: 15.1, end_time: 15.5
Word: at, start_time: 15.5, end_time: 15.7
Word: the, start_time: 15.7, end_time: 15.7
Word: door, start_time: 15.7, end_time: 16.0
Word: X, start_time: 16.0, end_time: 17.3
Word: couldn't, start_time: 17.3, end_time: 18.0
Word: read, start_time: 18.0, end_time: 18.5
Word: x-rays, start_time: 18.5, end_time: 19.4
Word: his, start_time: 19.4, end_time: 20.0
Word: eyesight, start_time: 20.0, end_time: 20.9
Word: was, start_time: 20.9, end_time: 21.1
Word: poor, start_time: 21.1, end_time: 21.7
