Word: hey, start_time: 2.0, end_time: 2.6
Word: was, start_time: 2.6, end_time: 2.9
Word: an, start_time: 2.9, end_time: 3.0
Word: Archer, start_time: 3.0, end_time: 3.5
Word: and, start_time: 3.5, end_time: 3.8
Word: shut, start_time: 3.8, end_time: 4.1
Word: it, start_time: 4.1, end_time: 4.3
Word: a, start_time: 4.3, end_time: 4.4
Word: frog, start_time: 4.4, end_time: 4.9
Word: be, start_time: 4.9, end_time: 5.5
Word: with, start_time: 5.5, end_time: 5.8
Word: a, start_time: 5.8, end_time: 5.9
Word: butcher, start_time: 5.9, end_time: 6.4
Word: and, start_time: 6.4, end_time: 6.7
Word: kept, start_time: 6.7, end_time: 7.0
Word: a, start_time: 7.0, end_time: 7.0
Word: bulldog, start_time: 7.0, end_time: 7.7
Word: she, start_time: 7.7, end_time: 8.4
Word: was, start_time: 8.4, end_time: 8.8
Word: a, start_time: 8.8, end_time: 8.8
Word: captain, start_time: 8.8, end_time: 9.5
Word: all, start_time: 9.5, end_time: 10.0
Word: covered, start_time: 10.0, end_time: 10.5
Word: with, start_time: 10.5, end_time: 10.6
Word: lace, start_time: 10.6, end_time: 11.0
Word: deewar, start_time: 11.0, end_time: 12.1
Word: a, start_time: 12.1, end_time: 12.2
Word: dirty, start_time: 12.2, end_time: 12.8
Word: hat, start_time: 12.8, end_time: 13.3
Word: and, start_time: 13.3, end_time: 13.7
Word: dirty, start_time: 13.7, end_time: 14.8
Word: face, start_time: 14.8, end_time: 15.4
