Word: for, start_time: 1.2, end_time: 1.6
Word: supper, start_time: 1.6, end_time: 1.9
Word: some, start_time: 1.9, end_time: 2.3
Word: people, start_time: 2.3, end_time: 2.6
Word: in, start_time: 2.6, end_time: 2.7
Word: London, start_time: 2.7, end_time: 3.0
Word: would, start_time: 3.0, end_time: 3.8
Word: eat, start_time: 3.8, end_time: 4.0
Word: a, start_time: 4.0, end_time: 4.1
Word: thick, start_time: 4.1, end_time: 4.6
Word: pea, start_time: 4.6, end_time: 4.9
Word: soup, start_time: 4.9, end_time: 5.4
Word: that, start_time: 5.4, end_time: 5.8
Word: didn't, start_time: 5.8, end_time: 6.1
Word: have, start_time: 6.1, end_time: 6.3
Word: much, start_time: 6.3, end_time: 6.6
Word: water, start_time: 6.6, end_time: 7.0
Word: in, start_time: 7.0, end_time: 7.1
Word: it, start_time: 7.1, end_time: 7.2
Word: they, start_time: 7.2, end_time: 7.5
Word: called, start_time: 7.5, end_time: 7.8
Word: it, start_time: 7.8, end_time: 8.0
Word: porridge, start_time: 8.0, end_time: 8.9
Word: pease, start_time: 10.4, end_time: 11.1
Word: porridge, start_time: 11.1, end_time: 11.3
Word: hot, start_time: 11.3, end_time: 11.8
Word: pease-porridge, start_time: 11.8, end_time: 12.9
Word: cold, start_time: 12.9, end_time: 13.1
Word: pease, start_time: 13.1, end_time: 14.8
Word: porridge, start_time: 14.8, end_time: 15.2
Word: in, start_time: 15.2, end_time: 15.5
Word: the, start_time: 15.5, end_time: 15.6
Word: pot, start_time: 15.6, end_time: 15.8
Word: nine, start_time: 15.8, end_time: 16.3
Word: days, start_time: 16.3, end_time: 16.7
Word: old, start_time: 16.7, end_time: 17.4
Word: Some, start_time: 17.4, end_time: 18.6
Word: Like, start_time: 18.6, end_time: 18.8
Word: It, start_time: 18.8, end_time: 19.0
Word: Hot, start_time: 19.0, end_time: 19.3
Word: some, start_time: 19.3, end_time: 20.3
Word: like, start_time: 20.3, end_time: 20.6
Word: it, start_time: 20.6, end_time: 20.8
Word: cold, start_time: 20.8, end_time: 21.1
Word: some, start_time: 21.1, end_time: 22.6
Word: like, start_time: 22.6, end_time: 22.9
Word: it, start_time: 22.9, end_time: 23.0
Word: in, start_time: 23.0, end_time: 23.1
Word: the, start_time: 23.1, end_time: 23.3
Word: pot, start_time: 23.3, end_time: 23.7
Word: nine, start_time: 23.7, end_time: 24.0
Word: days, start_time: 24.0, end_time: 24.6
Word: old, start_time: 24.6, end_time: 25.5
