Word: Shabbat, start_time: 1.7000000000000002, end_time: 4.5
Word: baby, start_time: 4.5, end_time: 5.0
Word: on, start_time: 5.0, end_time: 7.9
Word: the, start_time: 7.9, end_time: 8.1
Word: treetop, start_time: 8.1, end_time: 9.1
Word: when, start_time: 10.8, end_time: 11.8
Word: the, start_time: 11.8, end_time: 12.2
Word: wind, start_time: 12.2, end_time: 12.9
Word: blows, start_time: 12.9, end_time: 13.3
Word: the, start_time: 13.3, end_time: 15.0
Word: cradle, start_time: 15.0, end_time: 15.0
Word: will, start_time: 15.0, end_time: 16.9
Word: rock, start_time: 16.9, end_time: 17.8
Word: when, start_time: 19.5, end_time: 20.4
Word: the, start_time: 20.4, end_time: 20.8
Word: bough, start_time: 20.8, end_time: 21.0
Word: breaks, start_time: 21.0, end_time: 21.0
Word: the, start_time: 21.0, end_time: 23.9
Word: cradle, start_time: 23.9, end_time: 24.2
Word: will, start_time: 24.2, end_time: 26.2
Word: fall, start_time: 26.2, end_time: 26.4
Word: temples, start_time: 28.2, end_time: 30.5
Word: baby, start_time: 30.5, end_time: 32.2
Word: cradle, start_time: 32.2, end_time: 35.0
Word: and, start_time: 35.0, end_time: 36.5
Word: all, start_time: 36.5, end_time: 36.6
