Word: handy, start_time: 0.1, end_time: 0.8
Word: spandy, start_time: 0.8, end_time: 1.4
Word: Jackie, start_time: 1.4, end_time: 2.1
Word: Dandy, start_time: 2.1, end_time: 2.6
Word: loves, start_time: 2.6, end_time: 3.4
Word: plum, start_time: 3.4, end_time: 3.8
Word: cake, start_time: 3.8, end_time: 4.3
Word: and, start_time: 4.3, end_time: 4.5
Word: sugar, start_time: 4.5, end_time: 4.8
Word: candy, start_time: 4.8, end_time: 5.3
Word: he, start_time: 5.3, end_time: 6.3
Word: bought, start_time: 6.3, end_time: 6.6
Word: some, start_time: 6.6, end_time: 6.9
Word: at, start_time: 6.9, end_time: 7.1
Word: a, start_time: 7.1, end_time: 7.1
Word: grocery, start_time: 7.1, end_time: 7.6
Word: shop, start_time: 7.6, end_time: 7.7
Word: and, start_time: 7.7, end_time: 8.8
Word: please, start_time: 8.8, end_time: 9.5
Word: run, start_time: 9.5, end_time: 10.0
Word: away, start_time: 10.0, end_time: 10.1
Word: going, start_time: 10.1, end_time: 10.7
Word: hot, start_time: 10.7, end_time: 11.1
Word: hot, start_time: 11.1, end_time: 11.2
Word: pop, start_time: 11.2, end_time: 12.0
