Word: hush, start_time: 1.2, end_time: 1.7000000000000002
Word: little, start_time: 1.7000000000000002, end_time: 1.9
Word: baby, start_time: 1.9, end_time: 2.2
Word: don't, start_time: 2.2, end_time: 3.1
Word: say, start_time: 3.1, end_time: 3.4
Word: a, start_time: 3.4, end_time: 3.5
Word: word, start_time: 3.5, end_time: 3.7
Word: Papa's, start_time: 3.7, end_time: 5.2
Word: going, start_time: 5.2, end_time: 5.5
Word: to, start_time: 5.5, end_time: 5.6
Word: buy, start_time: 5.6, end_time: 5.7
Word: you, start_time: 5.7, end_time: 6.0
Word: a, start_time: 6.0, end_time: 6.2
Word: mockingbird, start_time: 6.2, end_time: 6.2
Word: if, start_time: 8.0, end_time: 8.4
Word: that, start_time: 8.4, end_time: 8.6
Word: mockingbird, start_time: 8.6, end_time: 8.8
Word: won't, start_time: 8.8, end_time: 9.5
Word: sing, start_time: 9.5, end_time: 9.8
Word: Papa's, start_time: 9.8, end_time: 10.8
Word: going, start_time: 10.8, end_time: 11.1
Word: to, start_time: 11.1, end_time: 11.2
Word: buy, start_time: 11.2, end_time: 11.2
Word: you, start_time: 11.2, end_time: 11.7
Word: a, start_time: 11.7, end_time: 11.8
Word: diamond, start_time: 11.8, end_time: 12.0
Word: ring, start_time: 12.0, end_time: 12.4
Word: if, start_time: 12.4, end_time: 13.8
Word: that, start_time: 13.8, end_time: 14.0
Word: diamond, start_time: 14.0, end_time: 14.2
Word: ring, start_time: 14.2, end_time: 14.6
Word: turns, start_time: 14.6, end_time: 14.8
Word: brass, start_time: 14.8, end_time: 15.2
Word: Papa's, start_time: 15.2, end_time: 16.8
Word: going, start_time: 16.8, end_time: 17.0
Word: to, start_time: 17.0, end_time: 17.1
Word: buy, start_time: 17.1, end_time: 17.2
Word: you, start_time: 17.2, end_time: 17.6
Word: a, start_time: 17.6, end_time: 17.7
Word: Looking, start_time: 17.7, end_time: 17.9
Word: Glass, start_time: 17.9, end_time: 18.3
Word: if, start_time: 18.3, end_time: 19.9
Word: that, start_time: 19.9, end_time: 20.1
Word: looking, start_time: 20.1, end_time: 20.3
Word: glass, start_time: 20.3, end_time: 20.6
Word: gets, start_time: 20.6, end_time: 21.0
Word: broke, start_time: 21.0, end_time: 21.3
Word: Papa's, start_time: 21.3, end_time: 22.5
Word: going, start_time: 22.5, end_time: 22.7
Word: to, start_time: 22.7, end_time: 22.8
Word: buy, start_time: 22.8, end_time: 22.9
Word: you, start_time: 22.9, end_time: 23.2
Word: a, start_time: 23.2, end_time: 23.4
Word: billy, start_time: 23.4, end_time: 23.7
Word: goat, start_time: 23.7, end_time: 24.0
Word: if, start_time: 24.0, end_time: 25.3
Word: that, start_time: 25.3, end_time: 25.5
Word: Billy, start_time: 25.5, end_time: 25.8
Word: Goat, start_time: 25.8, end_time: 26.1
Word: won't, start_time: 26.1, end_time: 26.2
Word: pull, start_time: 26.2, end_time: 26.6
Word: Papa's, start_time: 26.6, end_time: 27.3
Word: going, start_time: 27.3, end_time: 27.5
Word: to, start_time: 27.5, end_time: 27.6
Word: buy, start_time: 27.6, end_time: 27.7
Word: you, start_time: 27.7, end_time: 28.1
Word: a, start_time: 28.1, end_time: 28.2
Word: cart, start_time: 28.2, end_time: 28.7
Word: and, start_time: 28.7, end_time: 28.9
Word: bull, start_time: 28.9, end_time: 29.2
Word: if, start_time: 30.3, end_time: 30.7
Word: that, start_time: 30.7, end_time: 30.9
Word: cart, start_time: 30.9, end_time: 31.2
Word: and, start_time: 31.2, end_time: 31.3
Word: bull, start_time: 31.3, end_time: 31.5
Word: turn, start_time: 31.5, end_time: 31.8
Word: over, start_time: 31.8, end_time: 32.1
Word: Papa's, start_time: 32.1, end_time: 33.3
Word: going, start_time: 33.3, end_time: 33.5
Word: to, start_time: 33.5, end_time: 33.6
Word: buy, start_time: 33.6, end_time: 33.7
Word: you, start_time: 33.7, end_time: 34.0
Word: a, start_time: 34.0, end_time: 34.1
Word: dog, start_time: 34.1, end_time: 34.4
Word: named, start_time: 34.4, end_time: 34.9
Word: Rover, start_time: 34.9, end_time: 35.2
Word: if, start_time: 36.4, end_time: 36.9
Word: that, start_time: 36.9, end_time: 37.0
Word: dog, start_time: 37.0, end_time: 37.3
Word: named, start_time: 37.3, end_time: 37.6
Word: Rover, start_time: 37.6, end_time: 37.7
Word: won't, start_time: 37.7, end_time: 38.1
Word: bark, start_time: 38.1, end_time: 38.6
Word: Papa's, start_time: 38.6, end_time: 39.3
Word: going, start_time: 39.3, end_time: 39.4
Word: to, start_time: 39.4, end_time: 39.5
Word: buy, start_time: 39.5, end_time: 39.6
Word: you, start_time: 39.6, end_time: 40.0
Word: a, start_time: 40.0, end_time: 40.1
Word: horse, start_time: 40.1, end_time: 40.4
Word: and, start_time: 40.4, end_time: 40.6
Word: cart, start_time: 40.6, end_time: 41.0
Word: if, start_time: 42.1, end_time: 42.5
Word: that, start_time: 42.5, end_time: 42.6
Word: horse, start_time: 42.6, end_time: 42.9
Word: and, start_time: 42.9, end_time: 43.4
Word: cart, start_time: 43.4, end_time: 43.8
Word: fall, start_time: 43.8, end_time: 44.2
Word: down, start_time: 44.2, end_time: 44.6
Word: you'll, start_time: 44.6, end_time: 45.9
Word: still, start_time: 45.9, end_time: 46.2
Word: be, start_time: 46.2, end_time: 46.4
Word: the, start_time: 46.4, end_time: 46.5
Word: sweetest, start_time: 46.5, end_time: 46.9
Word: little, start_time: 46.9, end_time: 47.3
Word: baby, start_time: 47.3, end_time: 47.7
Word: in, start_time: 47.7, end_time: 47.9
Word: town, start_time: 47.9, end_time: 48.3
