Word: have, start_time: 1.1, end_time: 1.6
Word: you, start_time: 1.6, end_time: 1.8
Word: heard, start_time: 1.8, end_time: 2.0
Word: about, start_time: 2.0, end_time: 2.1
Word: Jack, start_time: 2.1, end_time: 2.6
Word: Horner, start_time: 2.6, end_time: 2.8
Word: little, start_time: 4.1, end_time: 4.6
Word: Jack, start_time: 4.6, end_time: 4.9
Word: Horner, start_time: 4.9, end_time: 5.3
Word: sat, start_time: 5.3, end_time: 5.6
Word: in, start_time: 5.6, end_time: 5.8
Word: a, start_time: 5.8, end_time: 5.9
Word: corner, start_time: 5.9, end_time: 6.0
Word: eating, start_time: 6.0, end_time: 6.6
Word: a, start_time: 6.6, end_time: 7.0
Word: Christmas, start_time: 7.0, end_time: 7.6
Word: pie, start_time: 7.6, end_time: 7.9
Word: he, start_time: 7.9, end_time: 9.0
Word: stuck, start_time: 9.0, end_time: 9.4
Word: in, start_time: 9.4, end_time: 9.5
Word: his, start_time: 9.5, end_time: 9.7
Word: thumb, start_time: 9.7, end_time: 10.0
Word: and, start_time: 10.0, end_time: 10.3
Word: pulled, start_time: 10.3, end_time: 10.5
Word: out, start_time: 10.5, end_time: 10.9
Word: a, start_time: 10.9, end_time: 11.0
Word: plum, start_time: 11.0, end_time: 11.2
Word: and, start_time: 11.2, end_time: 11.5
Word: said, start_time: 11.5, end_time: 11.9
Word: what, start_time: 11.9, end_time: 12.7
Word: a, start_time: 12.7, end_time: 12.8
Word: good, start_time: 12.8, end_time: 13.2
Word: boy, start_time: 13.2, end_time: 13.4
Word: am, start_time: 13.4, end_time: 13.6
Word: I, start_time: 13.6, end_time: 13.9
