Word: today, start_time: 0.0, end_time: 0.9
Word: people, start_time: 0.9, end_time: 1.2
Word: buy, start_time: 1.2, end_time: 1.7000000000000002
Word: things, start_time: 1.7000000000000002, end_time: 1.9
Word: in, start_time: 1.9, end_time: 2.3
Word: store, start_time: 2.3, end_time: 2.9
Word: but, start_time: 2.9, end_time: 3.9
Word: long, start_time: 3.9, end_time: 4.2
Word: ago, start_time: 4.2, end_time: 4.4
Word: people, start_time: 4.4, end_time: 4.9
Word: would, start_time: 4.9, end_time: 5.2
Word: go, start_time: 5.2, end_time: 5.4
Word: to, start_time: 5.4, end_time: 5.6
Word: a, start_time: 5.6, end_time: 5.7
Word: place, start_time: 5.7, end_time: 6.1
Word: Outdoors, start_time: 6.1, end_time: 6.9
Word: called, start_time: 6.9, end_time: 7.7
Word: a, start_time: 7.7, end_time: 8.3
Word: market, start_time: 8.3, end_time: 9.0
Word: to, start_time: 10.2, end_time: 10.7
Word: Market, start_time: 10.7, end_time: 11.1
Word: to, start_time: 11.1, end_time: 11.3
Word: Market, start_time: 11.3, end_time: 11.6
Word: to, start_time: 11.6, end_time: 12.1
Word: buy, start_time: 12.1, end_time: 12.4
Word: a, start_time: 12.4, end_time: 12.5
Word: fat, start_time: 12.5, end_time: 12.6
Word: pig, start_time: 12.6, end_time: 13.1
Word: home, start_time: 13.1, end_time: 14.1
Word: again, start_time: 14.1, end_time: 14.5
Word: home, start_time: 14.5, end_time: 14.7
Word: again, start_time: 14.7, end_time: 14.8
Word: jiggity, start_time: 14.8, end_time: 15.3
Word: jig, start_time: 15.3, end_time: 16.0
Word: to, start_time: 16.0, end_time: 17.1
Word: Market, start_time: 17.1, end_time: 17.5
Word: to, start_time: 17.5, end_time: 17.7
Word: Market, start_time: 17.7, end_time: 17.9
Word: to, start_time: 17.9, end_time: 18.5
Word: buy, start_time: 18.5, end_time: 18.8
Word: a, start_time: 18.8, end_time: 18.9
Word: fat, start_time: 18.9, end_time: 19.0
Word: hog, start_time: 19.0, end_time: 19.4
Word: home, start_time: 19.4, end_time: 20.7
Word: again, start_time: 20.7, end_time: 21.1
Word: home, start_time: 21.1, end_time: 21.3
Word: again, start_time: 21.3, end_time: 21.3
Word: jiggity, start_time: 21.3, end_time: 21.7
Word: jog, start_time: 21.7, end_time: 22.4
Word: to, start_time: 22.4, end_time: 24.0
Word: Market, start_time: 24.0, end_time: 24.4
Word: to, start_time: 24.4, end_time: 24.7
Word: Market, start_time: 24.7, end_time: 24.8
Word: to, start_time: 24.8, end_time: 25.8
Word: buy, start_time: 25.8, end_time: 26.1
Word: a, start_time: 26.1, end_time: 26.2
Word: plum, start_time: 26.2, end_time: 26.6
Word: cake, start_time: 26.6, end_time: 27.0
Word: home, start_time: 27.0, end_time: 28.4
Word: again, start_time: 28.4, end_time: 28.7
Word: home, start_time: 28.7, end_time: 29.0
Word: again, start_time: 29.0, end_time: 29.0
Word: Market, start_time: 29.0, end_time: 30.2
Word: is, start_time: 30.2, end_time: 30.3
Word: late, start_time: 30.3, end_time: 30.7
Word: to, start_time: 30.7, end_time: 31.8
Word: Market, start_time: 31.8, end_time: 32.3
Word: to, start_time: 32.3, end_time: 32.4
Word: Market, start_time: 32.4, end_time: 32.6
Word: to, start_time: 32.6, end_time: 33.4
Word: buy, start_time: 33.4, end_time: 33.6
Word: a, start_time: 33.6, end_time: 33.8
Word: plum, start_time: 33.8, end_time: 34.4
Word: bun, start_time: 34.4, end_time: 34.7
Word: home, start_time: 34.7, end_time: 35.9
Word: again, start_time: 35.9, end_time: 36.2
Word: home, start_time: 36.2, end_time: 36.5
Word: again, start_time: 36.5, end_time: 36.5
Word: Market, start_time: 36.5, end_time: 38.0
Word: is, start_time: 38.0, end_time: 38.3
Word: done, start_time: 38.3, end_time: 38.8
