Word: Jack, start_time: 1.7000000000000002, end_time: 2.2
Word: and, start_time: 2.2, end_time: 2.4
Word: Jill, start_time: 2.4, end_time: 2.7
Word: went, start_time: 2.7, end_time: 2.8
Word: up, start_time: 2.8, end_time: 3.0
Word: the, start_time: 3.0, end_time: 3.2
Word: hill, start_time: 3.2, end_time: 3.3
Word: to, start_time: 3.3, end_time: 3.8
Word: fetch, start_time: 3.8, end_time: 4.3
Word: a, start_time: 4.3, end_time: 4.4
Word: pail, start_time: 4.4, end_time: 4.6
Word: of, start_time: 4.6, end_time: 4.8
Word: water, start_time: 4.8, end_time: 5.0
