Word: it, start_time: 1.5, end_time: 2.0
Word: would, start_time: 2.0, end_time: 2.2
Word: be, start_time: 2.2, end_time: 2.3
Word: surprised, start_time: 2.3, end_time: 3.0
Word: to, start_time: 3.0, end_time: 3.5
Word: see, start_time: 3.5, end_time: 3.6
Word: a, start_time: 3.6, end_time: 3.8
Word: mouse, start_time: 3.8, end_time: 4.3
Word: inside, start_time: 4.3, end_time: 5.2
Word: the, start_time: 5.2, end_time: 5.3
Word: house, start_time: 5.3, end_time: 5.6
Word: Hickory, start_time: 7.4, end_time: 8.1
Word: Dickory, start_time: 8.1, end_time: 8.3
Word: Dock, start_time: 8.3, end_time: 8.7
Word: the, start_time: 8.7, end_time: 9.6
Word: mouse, start_time: 9.6, end_time: 9.8
Word: ran, start_time: 9.8, end_time: 10.2
Word: up, start_time: 10.2, end_time: 10.5
Word: the, start_time: 10.5, end_time: 10.7
Word: clock, start_time: 10.7, end_time: 10.9
Word: the, start_time: 10.9, end_time: 11.9
Word: Clock, start_time: 11.9, end_time: 12.1
Word: Struck, start_time: 12.1, end_time: 12.6
Word: One, start_time: 12.6, end_time: 12.8
Word: down, start_time: 12.8, end_time: 13.4
Word: he, start_time: 13.4, end_time: 13.6
Word: did, start_time: 13.6, end_time: 14.0
Word: run, start_time: 14.0, end_time: 14.2
Word: Hickory, start_time: 14.2, end_time: 14.9
Word: Dickory, start_time: 14.9, end_time: 15.7
Word: Dock, start_time: 15.7, end_time: 16.1
