Word: one, start_time: 1.3, end_time: 1.7000000000000002
Word: of, start_time: 1.7000000000000002, end_time: 1.8
Word: the, start_time: 1.8, end_time: 1.9
Word: biggest, start_time: 1.9, end_time: 2.2
Word: cities, start_time: 2.2, end_time: 3.2
Word: of, start_time: 3.2, end_time: 3.6
Word: all, start_time: 3.6, end_time: 4.0
Word: the, start_time: 4.0, end_time: 4.1
Word: world, start_time: 4.1, end_time: 4.4
Word: is, start_time: 4.4, end_time: 4.6
Word: named, start_time: 4.6, end_time: 5.0
Word: London, start_time: 5.0, end_time: 5.6
Word: and, start_time: 5.6, end_time: 6.8
Word: it, start_time: 6.8, end_time: 6.9
Word: has, start_time: 6.9, end_time: 7.1
Word: a, start_time: 7.1, end_time: 7.2
Word: big, start_time: 7.2, end_time: 7.5
Word: river, start_time: 7.5, end_time: 7.8
Word: and, start_time: 7.8, end_time: 8.4
Word: a, start_time: 8.4, end_time: 8.5
Word: big, start_time: 8.5, end_time: 8.8
Word: bridge, start_time: 8.8, end_time: 9.2
Word: London, start_time: 10.6, end_time: 11.3
Word: Bridge, start_time: 11.3, end_time: 11.7
Word: is, start_time: 11.7, end_time: 12.0
Word: falling, start_time: 12.0, end_time: 12.2
Word: down, start_time: 12.2, end_time: 12.7
Word: falling, start_time: 12.7, end_time: 13.8
Word: down, start_time: 13.8, end_time: 14.1
Word: falling, start_time: 14.1, end_time: 14.7
Word: down, start_time: 14.7, end_time: 15.4
Word: London, start_time: 15.4, end_time: 16.5
Word: bridge, start_time: 16.5, end_time: 17.0
Word: is, start_time: 17.0, end_time: 17.4
Word: falling, start_time: 17.4, end_time: 17.6
Word: down, start_time: 17.6, end_time: 18.1
Word: my, start_time: 18.1, end_time: 19.1
Word: fair, start_time: 19.1, end_time: 19.8
Word: lady, start_time: 19.8, end_time: 20.2
Word: built, start_time: 21.2, end_time: 21.7
Word: it, start_time: 21.7, end_time: 21.8
Word: up, start_time: 21.8, end_time: 22.0
Word: with, start_time: 22.0, end_time: 22.3
Word: stones, start_time: 22.3, end_time: 22.9
Word: and, start_time: 22.9, end_time: 22.9
Word: Bricks, start_time: 22.9, end_time: 23.2
Word: stones, start_time: 23.2, end_time: 24.7
Word: and, start_time: 24.7, end_time: 24.9
Word: Bricks, start_time: 24.9, end_time: 25.1
Word: stones, start_time: 25.1, end_time: 26.3
Word: and, start_time: 26.3, end_time: 26.5
Word: Bricks, start_time: 26.5, end_time: 26.6
Word: build, start_time: 26.6, end_time: 27.8
Word: it, start_time: 27.8, end_time: 27.9
Word: up, start_time: 27.9, end_time: 28.1
Word: with, start_time: 28.1, end_time: 28.3
Word: stones, start_time: 28.3, end_time: 29.1
Word: and, start_time: 29.1, end_time: 29.2
Word: Bricks, start_time: 29.2, end_time: 29.5
Word: My, start_time: 29.5, end_time: 30.6
Word: Fair, start_time: 30.6, end_time: 31.2
Word: Lady, start_time: 31.2, end_time: 31.6
