Word: there, start_time: 0.0, end_time: 1.4
Word: was, start_time: 1.4, end_time: 1.8
Word: an, start_time: 1.8, end_time: 1.9
Word: old, start_time: 1.9, end_time: 2.0
Word: woman, start_time: 2.0, end_time: 2.2
Word: lived, start_time: 2.2, end_time: 2.9
Word: under, start_time: 2.9, end_time: 3.3
Word: a, start_time: 3.3, end_time: 3.5
Word: hill, start_time: 3.5, end_time: 3.9
Word: she, start_time: 3.9, end_time: 4.5
Word: put, start_time: 4.5, end_time: 4.7
Word: a, start_time: 4.7, end_time: 4.8
Word: mouse, start_time: 4.8, end_time: 5.2
Word: in, start_time: 5.2, end_time: 5.4
Word: a, start_time: 5.4, end_time: 5.5
Word: bag, start_time: 5.5, end_time: 5.9
Word: and, start_time: 5.9, end_time: 6.1
Word: sent, start_time: 6.1, end_time: 6.6
Word: it, start_time: 6.6, end_time: 6.7
Word: to, start_time: 6.7, end_time: 6.9
Word: the, start_time: 6.9, end_time: 7.0
Word: mill, start_time: 7.0, end_time: 7.5
Word: the, start_time: 7.5, end_time: 8.2
Word: Miller, start_time: 8.2, end_time: 8.7
Word: did, start_time: 8.7, end_time: 9.0
Word: swear, start_time: 9.0, end_time: 9.5
Word: by, start_time: 9.5, end_time: 9.7
Word: the, start_time: 9.7, end_time: 9.8
Word: point, start_time: 9.8, end_time: 10.3
Word: of, start_time: 10.3, end_time: 10.4
Word: his, start_time: 10.4, end_time: 10.6
Word: knife, start_time: 10.6, end_time: 11.0
Word: he, start_time: 11.0, end_time: 11.4
Word: never, start_time: 11.4, end_time: 11.9
Word: made, start_time: 11.9, end_time: 12.3
Word: bread, start_time: 12.3, end_time: 12.7
Word: for, start_time: 12.7, end_time: 12.9
Word: my, start_time: 12.9, end_time: 13.0
Word: mouse, start_time: 13.0, end_time: 13.6
Word: in, start_time: 13.6, end_time: 13.8
Word: his, start_time: 13.8, end_time: 14.0
Word: life, start_time: 14.0, end_time: 14.7
